AREACD,AREANM,% difference between SPDv1.0 & Census 2011,% difference between SPDv2.0 & Census 2011,% difference between SPDv1.0 & Official estimates 2015,% difference between SPDv2.0 & Official estimates 2015
E06000001,Hartlepool,1.117592306,1.370131792,1.721407452,2.29752365
E06000002,Middlesbrough,4.578089413,4.721879442,5.589486559,6.236515819
E06000003,Redcar and Cleveland,3.033911908,2.857234473,2.969067368,3.167448161
E06000004,Stockton-on-Tees,-1.970823437,-1.28529048,-0.834466503,-0.183899005
E06000005,Darlington,-0.979153804,-0.152042537,1.315828648,2.099234022
E06000006,Halton,1.454074548,1.981993489,2.452792794,3.096181608
E06000007,Warrington,0.029207027,1.134629674,0.669535001,1.664254946
E06000008,Blackburn with Darwen,1.809075785,2.327073895,5.313711498,5.868079268
E06000009,Blackpool,7.484564663,7.495410629,8.6740021,8.920542785
E06000010,"Kingston upon Hull, City of",0.516799865,0.650005997,1.762955041,2.332593756
E06000011,East Riding of Yorkshire,-0.749249231,0.145239043,-0.797445718,-0.109453354
E06000012,North East Lincolnshire,-0.436811754,-0.202719231,0.636496595,0.986529456
E06000013,North Lincolnshire,-3.124810571,-2.505216265,-2.083824916,-1.591600756
E06000014,York,-1.373803953,-0.571175684,-3.029162457,-2.156416061
E06000015,Derby,0.045424165,0.750531066,2.090275947,2.931638522
E06000016,Leicester,1.358219065,1.812515924,3.799657037,4.685206883
E06000017,Rutland,-6.916767228,-6.164272386,-6.800438347,-4.890240683
E06000018,Nottingham,-1.648707038,-1.393734982,-1.172885042,-0.168302818
E06000019,"Herefordshire, County of",-3.058933424,-2.088976522,-3.765378399,-2.857482545
E06000020,Telford and Wrekin,-1.300652976,-0.768987915,0.892725832,1.696178953
E06000021,Stoke-on-Trent,1.567069478,1.882649203,3.808966804,4.369213961
E06000022,Bath and North East Somerset,1.475756078,1.736183666,0.17849586,0.886922973
E06000023,"Bristol, City of",-0.419176419,0.236573886,0.043436121,1.541410576
E06000024,North Somerset,1.993540014,3.097751962,1.102102949,2.009105641
E06000025,South Gloucestershire,-0.43929851,0.771582143,-1.681567479,-0.551172622
E06000026,Plymouth,4.113218287,4.053621011,1.067440262,1.53517847
E06000027,Torbay,4.569983284,4.865105532,2.898769606,3.536094521
E06000028,Bournemouth,-0.519230253,-0.083972545,-1.598123435,-0.516865222
E06000029,Poole,0.245245625,1.303628173,0.377759929,1.275686031
E06000030,Swindon,-0.70292022,0.431574633,1.010492428,2.17471703
E06000031,Peterborough,1.722921822,2.759891328,7.837946369,9.073774836
E06000032,Luton,-0.468866217,0.437271432,1.740249764,2.868122939
E06000033,Southend-on-Sea,-0.195939491,0.898363952,0.439736874,1.704339525
E06000034,Thurrock,-4.00743979,-2.154344941,-1.469145058,0.466395255
E06000035,Medway,-3.993747287,-3.109761632,-2.263000792,-1.346747783
E06000036,Bracknell Forest,-2.74032573,-0.75086735,-3.334633242,-1.705087593
E06000037,West Berkshire,-0.971639992,0.189486534,0.906926678,1.990794656
E06000038,Reading,1.510821947,2.822070248,5.973964081,8.02376819
E06000039,Slough,-4.597387165,-2.833529075,1.081952867,3.085503978
E06000040,Windsor and Maidenhead,-2.819224352,-1.454023444,-1.499532739,0.163427276
E06000041,Wokingham,-0.188801639,1.482965963,0.160893396,1.358388427
E06000042,Milton Keynes,-2.221038466,-0.426249428,1.634931587,3.313520146
E06000043,Brighton and Hove,-0.635505591,-0.320805803,-1.659505751,-0.723755197
E06000044,Portsmouth,-0.587355714,-0.31935114,-1.584420403,-0.783417958
E06000045,Southampton,0.456947584,0.902512098,-0.593802123,0.430172101
E06000046,Isle of Wight,-1.537867587,-0.7902931,-0.394246068,-0.084744496
E06000047,County Durham,0.369512558,0.977194265,0.185797681,0.728613277
E06000057,Northumberland,-0.925141875,-0.381108004,-0.355559399,0.158840895
E06000049,Cheshire East,-0.906482665,0.054812257,0.721377197,1.627459891
E06000050,Cheshire West and Chester,2.097385037,2.791578947,3.609216093,4.739355174
E06000051,Shropshire,-5.631356564,-4.554662646,-4.561976666,-3.474161875
E06000052,Cornwall,1.233423502,1.984863781,-0.488222135,0.257315773
E06000053,Isles of Scilly,-2.914247022,-2.739392249,-7.182540566,-6.077534325
E06000054,Wiltshire,-2.264977793,-0.725730786,-1.741016193,-0.376414536
E06000055,Bedford,0.070936175,1.16514627,2.271428182,3.63073237
E06000056,Central Bedfordshire,-0.753608855,0.774808879,-2.521907334,-0.948878218
