AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,1.941659989,2.380411948,2.990704174,3.991625318
E06000002,Middlesbrough,7.953788683,8.203603705,9.710949465,10.83507212
E06000003,Redcar and Cleveland,5.270996702,4.964044422,5.158338402,5.502997225
E06000004,Stockton-on-Tees,-3.424029489,-2.233012061,-1.449768589,-0.319498745
E06000005,Darlington,-1.701142494,-0.264152597,2.286067847,3.647124881
E06000006,Halton,2.526250721,3.443435887,4.261383692,5.379181579
E06000007,Warrington,0.050743115,1.971260028,1.163223221,2.891409704
E06000008,Blackburn with Darwen,3.143015613,4.042964726,9.231828949,10.19496525
E06000009,Blackpool,13.00338205,13.0222254,15.06986289,15.49819277
E06000010,"Kingston upon Hull, City of",0.89786733,1.129294315,3.062887285,4.052554712
E06000011,East Riding of Yorkshire,-1.301715524,0.25233248,-1.385450163,-0.190159861
E06000012,North East Lincolnshire,-0.758899198,-0.35219625,1.105823622,1.713956656
E06000013,North Lincolnshire,-5.428920388,-4.352462125,-3.62035372,-2.765183232
E06000014,York,-2.386791813,-0.992337695,-5.262745196,-3.746470659
E06000015,Derby,0.078918119,1.303942531,3.631561482,5.093311029
E06000016,Leicester,2.359715255,3.148992372,6.601371537,8.139890273
E06000017,Rutland,-12.01691359,-10.70955928,-11.81480847,-8.496107763
E06000018,Nottingham,-2.864397393,-2.421419183,-2.037723368,-0.292402556
E06000019,"Herefordshire, County of",-5.314468079,-3.629303913,-6.541817208,-4.964475413
E06000020,Telford and Wrekin,-2.259702245,-1.33600872,1.550986008,2.946873192
E06000021,Stoke-on-Trent,2.722563575,3.270839114,6.617545952,7.590896862
E06000022,Bath and North East Somerset,2.563919341,3.016375774,0.310111539,1.540904354
E06000023,"Bristol, City of",-0.728260276,0.411013969,0.075464172,2.67798483
E06000024,North Somerset,3.463496356,5.381909848,1.914749402,3.490539452
E06000025,South Gloucestershire,-0.763219589,1.340515828,-2.921487804,-0.957585177
E06000026,Plymouth,7.146140258,7.042598346,1.854527841,2.667157419
E06000027,Torbay,7.939705419,8.452438961,5.036205895,6.143468606
E06000028,Bournemouth,-0.902089789,-0.145890528,-2.776515473,-0.897980878
E06000029,Poole,0.4260799,2.264871231,0.656304929,2.216325677
E06000030,Swindon,-1.22122536,0.749800434,1.755588961,3.778266029
E06000031,Peterborough,2.993335179,4.794924351,13.61733324,15.76441198
E06000032,Luton,-0.814589336,0.759697825,3.023440048,4.982961606
E06000033,Southend-on-Sea,-0.340417403,1.560781451,0.763981184,2.961051042
E06000034,Thurrock,-6.962364947,-3.742872379,-2.552433621,0.810296384
E06000035,Medway,-6.938576142,-5.402774966,-3.93164669,-2.339785511
E06000036,Bracknell Forest,-4.760931867,-1.304526778,-5.79345787,-2.962350706
E06000037,West Berkshire,-1.688088299,0.329206295,1.575657987,3.458726683
E06000038,Reading,2.624841373,4.902951511,10.37892527,13.94017261
E06000039,Slough,-7.987315822,-4.922859616,1.879741458,5.360630693
E06000040,Windsor and Maidenhead,-4.898007165,-2.526161935,-2.605227957,0.283931985
E06000041,Wokingham,-0.328016386,2.576445506,0.279529725,2.360009498
E06000042,Milton Keynes,-3.858743031,-0.740548637,2.840464478,5.756776826
E06000043,Brighton and Hove,-1.10410189,-0.557355118,-2.883158644,-1.257423213
E06000044,Portsmouth,-1.020448229,-0.554827845,-2.752708376,-1.361078896
E06000045,Southampton,0.793882381,1.567988273,-1.03164796,0.747363731
E06000046,Isle of Wight,-2.671829383,-1.373023492,-0.684947286,-0.147231685
