AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,1.176412954,1.442243991,1.812007845,2.418445947
E06000002,Middlesbrough,4.819041487,4.970399413,5.883670062,6.564753494
E06000003,Redcar and Cleveland,3.193591482,3.007615235,3.125334071,3.334155959
E06000004,Stockton-on-Tees,-2.074550987,-1.352937348,-0.878385793,-0.1935779
E06000005,Darlington,-1.030688215,-0.160044776,1.385082787,2.209720023
E06000006,Halton,1.530604787,2.086308935,2.581887151,3.259138535
E06000007,Warrington,0.030744239,1.194347026,0.704773685,1.751847311
E06000008,Blackburn with Darwen,1.9042903,2.449551468,5.593380524,6.176925545
E06000009,Blackpool,7.878489119,7.889905925,9.130528527,9.390045037
E06000010,"Kingston upon Hull, City of",0.543999858,0.684216839,1.855742148,2.455361849
E06000011,East Riding of Yorkshire,-0.788683401,0.152883203,-0.839416545,-0.115214057
E06000012,North East Lincolnshire,-0.459801846,-0.213388664,0.669996416,1.038452059
E06000013,North Lincolnshire,-3.289274285,-2.637069753,-2.193499912,-1.675369217
E06000014,York,-1.446109424,-0.601237563,-3.18859206,-2.269911643
E06000015,Derby,0.04781491,0.790032701,2.200290471,3.085935286
E06000016,Leicester,1.429704279,1.907911498,3.999638987,4.931796718
E06000017,Rutland,-7.280807609,-6.488707775,-7.158356155,-5.147621771
E06000018,Nottingham,-1.735481092,-1.467089455,-1.234615834,-0.177160861
E06000019,"Herefordshire, County of",-3.21992992,-2.198922655,-3.96355621,-3.007876363
E06000020,Telford and Wrekin,-1.369108396,-0.809460963,0.939711403,1.78545153
E06000021,Stoke-on-Trent,1.649546819,1.981736003,4.009438741,4.599172591
E06000022,Bath and North East Somerset,1.55342745,1.827561754,0.187890379,0.93360313
E06000023,"Bristol, City of",-0.441238336,0.249025144,0.045722232,1.622537449
E06000024,North Somerset,2.098463172,3.260791538,1.160108368,2.114848043
E06000025,South Gloucestershire,-0.462419484,0.81219173,-1.77007103,-0.580181707
E06000026,Plymouth,4.32970346,4.266969486,1.123621328,1.615977337
E06000027,Torbay,4.810508719,5.121163717,3.051336427,3.722204759
E06000028,Bournemouth,-0.546558161,-0.088392153,-1.682235195,-0.544068654
E06000029,Poole,0.25815329,1.372240182,0.397642031,1.342827401
E06000030,Swindon,-0.739916021,0.454289087,1.06367624,2.289175821
E06000031,Peterborough,1.813601918,2.905148766,8.250469862,9.551341932
E06000032,Luton,-0.493543387,0.460285718,1.831841856,3.019076778
E06000033,Southend-on-Sea,-0.206252096,0.945646265,0.46288092,1.794041605
E06000034,Thurrock,-4.218357674,-2.267731517,-1.546468482,0.490942373
E06000035,Medway,-4.203944513,-3.273433296,-2.382106097,-1.417629245
E06000036,Bracknell Forest,-2.8845534,-0.790386684,-3.510140254,-1.794829046
E06000037,West Berkshire,-1.022778939,0.19945951,0.954659661,2.095573323
E06000038,Reading,1.590338891,2.970600261,6.288383243,8.446071779
E06000039,Slough,-4.83935491,-2.982662184,1.138897755,3.247898924
E06000040,Windsor and Maidenhead,-2.967604581,-1.530550993,-1.578455514,0.172028711
E06000041,Wokingham,-0.198738568,1.561016803,0.16936147,1.429882554
E06000042,Milton Keynes,-2.337935228,-0.448683608,1.720980618,3.487915943
E06000043,Brighton and Hove,-0.668953253,-0.337690319,-1.746848159,-0.761847576
E06000044,Portsmouth,-0.618269173,-0.336159095,-1.667810951,-0.824650482
E06000045,Southampton,0.480997457,0.950012735,-0.625054866,0.452812738
E06000046,Isle of Wight,-1.618807987,-0.831887473,-0.414995862,-0.089204733
E06000047,County Durham,0.388960587,1.028625542,0.195576506,0.766961344
E06000057,Northumberland,-0.973833553,-0.40116632,-0.374273052,0.167200942
E06000049,Cheshire East,-0.954192279,0.057697112,0.759344418,1.713115675
E06000050,Cheshire West and Chester,2.207773723,2.938504155,3.799174835,4.98879492
E06000051,Shropshire,-5.927743751,-4.794381733,-4.802080701,-3.6570125
E06000052,Cornwall,1.298340529,2.089330296,-0.513918037,0.270858708
E06000053,Isles of Scilly,-3.067628444,-2.883570789,-7.560569016,-6.397404552
E06000054,Wiltshire,-2.384187151,-0.763927143,-1.832648625,-0.396225827
E06000055,Bedford,0.074669658,1.226469758,2.390977034,3.821823547
E06000056,Central Bedfordshire,-0.793272479,0.815588293,-2.654639298,-0.998819177
E07000004,Aylesbury Vale,-3.310360011,-1.612102713,-5.615330326,-3.835471164
E07000005,Chiltern,-0.621558149,0.777677211,-0.270190749,0.934945806
E07000006,South Bucks,-3.379649636,-0.497245141,-2.616372881,-0.451705644
E07000007,Wycombe,-1.962305713,-0.51498715,-1.349078673,0.019195788
E07000008,Cambridge,-3.445908576,-3.067273379,1.631328642,2.675172491
E07000009,East Cambridgeshire,-5.868025731,-4.361915263,-3.289743965,-2.275728782
E07000010,Fenland,-0.201472578,0.698059897,2.391881658,3.26822343
E07000011,Huntingdonshire,-4.44211917,-3.25882983,-1.908053416,-0.956344156
E07000012,South Cambridgeshire,-2.089794164,-0.075414253,-1.596910492,-0.085517576
E07000026,Allerdale,-0.280350299,0.29717133,-0.316015838,0.429278188
E07000027,Barrow-in-Furness,2.819128666,3.204533472,3.801648393,4.145978838
E07000028,Carlisle,-0.566915511,0.099304542,0.614845172,1.034739357
E07000029,Copeland,-2.161314871,-1.686553007,-1.758219281,-1.373972659
E07000030,Eden,-2.172778982,-1.434805477,-1.668765313,-1.025943568
E07000031,South Lakeland,-1.44732951,-0.42115982,-1.090903758,1.04E-02
E07000032,Amber Valley,-1.512837502,-0.686246938,-1.503360239,-0.799613362
E07000033,Bolsover,-0.81060901,-0.10333041,-0.451806744,0.253706806
E07000034,Chesterfield,-0.851682829,-0.381564242,-0.7314188,0.204538271
E07000035,Derbyshire Dales,-2.29966881,-1.178342764,-1.314646467,-0.558534798
E07000036,Erewash,-1.19746962,-0.312330978,-1.397511939,-0.643280477
E07000037,High Peak,-0.286997994,0.599275719,-0.512595364,0.483050938
E07000038,North East Derbyshire,-0.913139814,-0.327583752,-0.6267003,-0.307924096
E07000039,South Derbyshire,-4.185749583,-2.824309473,-4.539844236,-3.217083862
E07000040,East Devon,1.017343221,1.991829459,-0.643799355,0.360058035
E07000041,Exeter,0.462494498,1.124676385,-5.446392311,-4.07895503
E07000042,Mid Devon,-0.983927956,0.172100481,-1.128739151,-0.413077675
E07000043,North Devon,2.802269249,3.617553568,2.072491018,2.658070193
E07000044,South Hams,2.614106523,3.441581708,1.059260437,1.888107763
E07000045,Teignbridge,1.580961646,2.565662445,0.270684487,1.348176888
E07000046,Torridge,1.181395617,2.032508748,-0.387540059,0.383460668
E07000047,West Devon,-0.898490394,0.461864519,-1.374337049,-0.678470119
E07000048,Christchurch,2.82E-03,1.285024864,-0.110206254,0.686033927
