AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,1.537794711,1.885286263,2.368637705,3.161367252
E06000002,Middlesbrough,6.299400637,6.497254135,7.691071977,8.581377116
E06000003,Redcar and Cleveland,4.174629388,3.931523183,4.085404015,4.358373803
E06000004,Stockton-on-Tees,-2.711831355,-1.768545553,-1.148216722,-0.253043006
E06000005,Darlington,-1.347304856,-0.209208857,1.810565735,2.888522906
E06000006,Halton,2.000790571,2.727201223,3.375015884,4.260311811
E06000007,Warrington,0.040188547,1.561237942,0.921272791,2.289996486
E06000008,Blackburn with Darwen,2.489268365,3.202028063,7.311608528,8.074412477
E06000009,Blackpool,10.29867859,10.31360252,11.93533141,12.27456868
E06000010,"Kingston upon Hull, City of",0.711110926,0.894401097,2.425806729,3.209623332
E06000011,East Riding of Yorkshire,-1.030958695,0.199847324,-1.097276529,-0.15060661
E06000012,North East Lincolnshire,-0.601048165,-0.27893943,0.875812308,1.357453671
E06000013,North Lincolnshire,-4.299704948,-3.447150003,-2.867320146,-2.19002512
E06000014,York,-1.890339116,-0.785931454,-4.168094195,-2.967204762
E06000015,Derby,0.06250315,1.032722485,2.876196694,4.033902335
E06000016,Leicester,1.868894482,2.494001959,5.228286257,6.446793096
E06000017,Rutland,-9.517395567,-8.481970948,-9.357328307,-6.728917348
E06000018,Nottingham,-2.268602735,-1.917763993,-1.613876907,-0.231582824
E06000019,"Herefordshire, County of",-4.209058719,-2.874408699,-5.181119228,-3.931864527
E06000020,Telford and Wrekin,-1.789684178,-1.058118906,1.228380918,2.333923568
E06000021,Stoke-on-Trent,2.156270352,2.590504579,5.241096394,6.011990315
E06000022,Bath and North East Somerset,2.030624118,2.388969613,0.245608339,1.220396248
E06000023,"Bristol, City of",-0.576782138,0.325523064,0.059767624,2.120963985
E06000024,North Somerset,2.743089114,4.262472599,1.516481527,2.764507246
E06000025,South Gloucestershire,-0.604469914,1.061688536,-2.31381834,-0.75840746
E06000026,Plymouth,5.659743085,5.57773789,1.46878605,2.112388676
E06000027,Torbay,6.288246692,6.694331657,3.988675069,4.865627136
E06000028,Bournemouth,-0.714455113,-0.115545298,-2.199000255,-0.711200855
E06000029,Poole,0.337455281,1.793778015,0.519793504,1.755329936
E06000030,Swindon,-0.967210485,0.593841944,1.390426457,2.992386695
E06000031,Peterborough,2.370721462,3.797580086,10.78492792,12.48541429
E06000032,Luton,-0.645154754,0.601680677,2.394564518,3.946505592
E06000033,Southend-on-Sea,-0.269610583,1.236138909,0.605073097,2.345152425
E06000034,Thurrock,-5.514193038,-2.964354924,-2.021527428,0.641754736
E06000035,Medway,-5.495352304,-4.278997773,-3.113864179,-1.853110125
E06000036,Bracknell Forest,-3.770658039,-1.033185208,-4.588418633,-2.346181759
E06000037,West Berkshire,-1.336965933,0.260731385,1.247921126,2.739311533
E06000038,Reading,2.078874368,3.883137596,8.220108815,11.0406167
E06000039,Slough,-6.325954131,-3.898904816,1.488755235,4.245619509
E06000040,Windsor and Maidenhead,-3.879221675,-2.000720253,-2.063340542,0.224874133
E06000041,Wokingham,-0.259788978,2.040544841,0.221387542,1.869127522
E06000042,Milton Keynes,-3.056124481,-0.586514521,2.249647867,4.559367246
E06000043,Brighton and Hove,-0.874448697,-0.441425254,-2.283461646,-0.995879185
E06000044,Portsmouth,-0.808194997,-0.439423653,-2.180145033,-1.077974486
E06000045,Southampton,0.628754846,1.241846712,-0.817065184,0.591912075
E06000046,Isle of Wight,-2.116088871,-1.087434606,-0.54247825,-0.116607494
E06000047,County Durham,0.508445212,1.344608552,0.255655564,1.002563848
E06000057,Northumberland,-1.272985036,-0.524400418,-0.489245819,0.218563322
E06000049,Cheshire East,-1.247310168,0.075421062,0.992607083,2.239366895
E06000050,Cheshire West and Chester,2.885978723,3.841181902,4.966241614,6.521300549
E06000051,Shropshire,-7.748684642,-6.267165664,-6.277229674,-4.780408496
E06000052,Cornwall,1.697177162,2.731150713,-0.671788284,0.354063671
E06000053,Isles of Scilly,-4.009971822,-3.76937358,-9.883096753,-8.36262033
E06000054,Wiltshire,-3.116584511,-0.998597573,-2.395619117,-0.517942258
E06000055,Bedford,0.097607396,1.603228442,3.125460175,4.995847774
E06000056,Central Bedfordshire,-1.036957489,1.066128488,-3.47011673,-1.305645983
E07000004,Aylesbury Vale,-4.327267988,-2.107323808,-7.340301079,-5.013687796
E07000005,Chiltern,-0.812494313,1.016571518,-0.353190521,1.222151381
E07000006,South Bucks,-4.417842662,-0.649993648,-3.42009527,-0.590464895
E07000007,Wycombe,-2.565105507,-0.673185818,-1.763501533,0.025092533
E07000008,Cambridge,-4.504455654,-4.009507685,2.132455741,3.496957505
E07000009,East Cambridgeshire,-7.670621871,-5.701850016,-4.300318908,-2.974808865
E07000010,Fenland,-0.263362848,0.912496597,3.12664269,4.272187491
E07000011,Huntingdonshire,-5.806691725,-4.259908275,-2.494187472,-1.25012308
E07000012,South Cambridgeshire,-2.731757077,-0.098580722,-2.087464695,-0.111787681
E07000026,Allerdale,-0.366470979,0.388459255,-0.413092598,0.561147958
E07000027,Barrow-in-Furness,3.685135511,4.188932643,4.969475023,5.41958018
E07000028,Carlisle,-0.741066028,0.129809859,0.803719179,1.352600466
E07000029,Copeland,-2.825248197,-2.204644454,-2.298325857,-1.796042691
E07000030,Eden,-2.840233963,-1.875562714,-2.181392566,-1.341102703
E07000031,South Lakeland,-1.891934001,-0.550535713,-1.426017984,1.36E-02
E07000032,Amber Valley,-1.977565363,-0.897054821,-1.965176783,-1.045246225
E07000033,Bolsover,-1.059619621,-0.135072431,-0.590597051,0.331642883
E07000034,Chesterfield,-1.113310888,-0.498776787,-0.956103007,0.267370289
E07000035,Derbyshire Dales,-3.00610302,-1.540317339,-1.718492113,-0.730110847
E07000036,Erewash,-1.565319765,-0.408275789,-1.826812992,-0.840889513
E07000037,High Peak,-0.375160776,0.783366953,-0.6700593,0.631439135
E07000038,North East Derbyshire,-1.193646816,-0.428214055,-0.819216079,-0.402515158
E07000039,South Derbyshire,-5.471568082,-3.691907808,-5.93443691,-4.205338381
E07000040,East Devon,1.329860419,2.60369864,-0.841567785,0.470664098
E07000041,Exeter,0.604567971,1.470165209,-7.119467074,-5.331967359
E07000042,Mid Devon,-1.286180334,0.224967949,-1.475476014,-0.539970817
E07000043,North Devon,3.663097058,4.728828194,2.709138585,3.474601559
E07000044,South Hams,3.41713271,4.498799618,1.384654166,2.468114722
E07000045,Teignbridge,2.06661653,3.353807117,0.353835931,1.762322729
E07000046,Torridge,1.544307996,2.65687418,-0.506588312,0.501255776
E07000047,West Devon,-1.174497247,0.603744469,-1.796519019,-0.886889044
E07000048,Christchurch,3.69E-03,1.679771065,-0.144060463,0.896776375
E07000049,East Dorset,1.220211795,2.604604828,0.990073677,1.880542599
E07000050,North Dorset,-3.804957686,-2.091825142,-4.397432839,-2.291162569
E07000051,Purbeck,-2.812852726,-0.769998686,-2.588330362,-0.730238056
E07000052,West Dorset,-0.437853857,0.500150116,0.45946775,1.583585231
E07000053,Weymouth and Portland,-0.401254374,-0.097602449,1.754159259,2.581081385
E07000061,Eastbourne,-3.142166976,-1.89276457,-1.779467164,-0.275886411
E07000062,Hastings,-3.045993333,-2.075034065,-0.751153359,0.444126681
E07000063,Lewes,-3.825256201,-2.062122868,-3.272392385,-1.940625242
E07000064,Rother,-2.603732739,-0.875712308,-2.958981751,-1.557458947
E07000065,Wealden,-4.722048477,-2.7917035,-4.324947658,-2.783952223
E07000066,Basildon,0.589278846,2.190051799,2.013542404,3.885135663
E07000067,Braintree,-2.76279222,-1.19040316,-2.323058671,-1.059888173
E07000068,Brentwood,-1.881993666,0.376878806,-0.773554358,1.705071902
E07000069,Castle Point,4.57301449,5.002612827,3.659479725,4.51144297
E07000070,Chelmsford,-1.425527699,-0.085027825,-1.210693371,0.243571402
E07000071,Colchester,1.652725872,3.35649335,0.716557067,2.642424459
E07000072,Epping Forest,1.581708189,4.168283066,1.459191654,4.695027489
E07000073,Harlow,5.269505552,6.373428052,7.3529333,9.010136403
E07000074,Maldon,2.044043975,3.354181501,1.129184468,0.650477926
E07000075,Rochford,-0.941871308,0.316078492,-1.664202433,0.066402111
