AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,1.186324233,1.454394897,1.827274011,2.438821355
E06000002,Middlesbrough,4.859641912,5.012275028,5.933239982,6.620061542
E06000003,Redcar and Cleveland,3.22049749,3.032954393,3.151665011,3.362246223
E06000004,Stockton-on-Tees,-2.092029079,-1.364335845,-0.885786193,-0.195208794
E06000005,Darlington,-1.039371763,-0.161393153,1.39675211,2.228336914
E06000006,Halton,1.543500132,2.103886088,2.603639551,3.286596777
E06000007,Warrington,0.031003259,1.204409399,0.710711404,1.766606625
E06000008,Blackburn with Darwen,1.920333945,2.470188939,5.640504755,6.228966143
E06000009,Blackpool,7.94486539,7.956378382,9.207453229,9.469156167
E06000010,"Kingston upon Hull, City of",0.548583057,0.689981366,1.871376776,2.476048272
E06000011,East Riding of Yorkshire,-0.795328059,0.154171244,-0.846488629,-0.116184735
E06000012,North East Lincolnshire,-0.463675677,-0.215186464,0.675641136,1.047201017
E06000013,North Lincolnshire,-3.316986421,-2.659287065,-2.211980149,-1.689484202
E06000014,York,-1.458292896,-0.606302989,-3.215455948,-2.289035649
E06000015,Derby,0.048217751,0.796688726,2.218827918,3.111934291
E06000016,Leicester,1.441749537,1.923985653,4.033335945,4.973347106
E06000017,Rutland,-7.342148413,-6.543375138,-7.218665305,-5.190990485
E06000018,Nottingham,-1.750102521,-1.479449683,-1.245017472,-0.178653441
E06000019,"Herefordshire, County of",-3.247057829,-2.217448578,-3.996949171,-3.033217722
E06000020,Telford and Wrekin,-1.380643134,-0.816280672,0.947628471,1.800493959
E06000021,Stoke-on-Trent,1.663444251,1.998432128,4.043218263,4.63792062
E06000022,Bath and North East Somerset,1.566515076,1.842958962,0.189473356,0.941468736
E06000023,"Bristol, City of",-0.444955769,0.25112318,0.046107442,1.636207327
E06000024,North Somerset,2.116142725,3.288263707,1.169882281,2.132665638
E06000025,South Gloucestershire,-0.466315368,0.819034445,-1.784983879,-0.585069738
E06000026,Plymouth,4.366181211,4.302918704,1.133087838,1.629591946
E06000027,Torbay,4.851037255,5.164309522,3.077043937,3.753564334
E06000028,Bournemouth,-0.551162914,-0.089136857,-1.696408026,-0.548652433
E06000029,Poole,0.260328231,1.383801305,0.400992165,1.354140722
E06000030,Swindon,-0.746149813,0.458116473,1.072637712,2.308462128
E06000031,Peterborough,1.828881514,2.929624644,8.319980071,9.631811988
E06000032,Luton,-0.49770149,0.464163625,1.847275124,3.0445125
E06000033,Southend-on-Sea,-0.20798977,0.953613335,0.466780691,1.809156406
E06000034,Thurrock,-4.253897337,-2.286837155,-1.559497479,0.495078563
E06000035,Medway,-4.239362745,-3.301011972,-2.402175341,-1.429572772
E06000036,Bracknell Forest,-2.908855762,-0.797045692,-3.539713186,-1.80995048
E06000037,West Berkshire,-1.031395851,0.201139956,0.962702669,2.113228528
E06000038,Reading,1.603737496,2.995627568,6.341362872,8.517229933
E06000039,Slough,-4.880126475,-3.007791113,1.148492968,3.275262472
E06000040,Windsor and Maidenhead,-2.99260665,-1.543445886,-1.591754002,0.173478053
E06000041,Wokingham,-0.20041294,1.57416837,0.17078834,1.441929315
E06000042,Milton Keynes,-2.357632332,-0.452463768,1.73547988,3.517301635
E06000043,Brighton and Hove,-0.674589184,-0.34053536,-1.761565355,-0.768266142
E06000044,Portsmouth,-0.623478091,-0.338991235,-1.681862258,-0.831598162
E06000045,Southampton,0.48504986,0.958016592,-0.630320953,0.456627685
E06000046,Isle of Wight,-1.632446444,-0.838896125,-0.418492202,-0.089956283
