AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,1.42358908,1.745273876,2.192728813,2.926585626
E06000002,Middlesbrough,5.831570294,6.014730034,7.119887979,7.944073851
E06000003,Redcar and Cleveland,3.864596988,3.639545272,3.781998013,4.034695467
E06000004,Stockton-on-Tees,-2.510434895,-1.637203014,-1.062943431,-0.234250552
E06000005,Darlington,-1.247246115,-0.193671783,1.676102531,2.674004297
E06000006,Halton,1.852200159,2.524663306,3.124367461,3.943916133
E06000007,Warrington,0.037203911,1.445291279,0.852853684,2.11992795
E06000008,Blackburn with Darwen,2.304400734,2.964226727,6.768605706,7.474759371
E06000009,Blackpool,9.533838468,9.547654059,11.04894388,11.3629874
E06000010,"Kingston upon Hull, City of",0.658299668,0.82797764,2.245652131,2.971257927
E06000011,East Riding of Yorkshire,-0.954393671,0.185005493,-1.015786355,-0.139421682
E06000012,North East Lincolnshire,-0.556410812,-0.258223756,0.810769363,1.256641221
E06000013,North Lincolnshire,-3.980383705,-3.191144478,-2.654376178,-2.027381043
E06000014,York,-1.749951475,-0.727563587,-3.858547137,-2.746842778
E06000015,Derby,0.057861301,0.956026472,2.662593502,3.734321149
E06000016,Leicester,1.730099445,2.308782783,4.840003134,5.968016527
E06000017,Rutland,-8.810578095,-7.852050166,-8.662398366,-6.229188582
E06000018,Nottingham,-2.100123025,-1.77533962,-1.494020967,-0.214384129
E06000019,"Herefordshire, County of",-3.896469395,-2.660938293,-4.796339005,-3.639861266
E06000020,Telford and Wrekin,-1.656771761,-0.979536806,1.137154165,2.160592751
E06000021,Stoke-on-Trent,1.996133101,2.398118554,4.851861915,5.565504744
E06000022,Bath and North East Somerset,1.879818092,2.211550754,0.227368027,1.129762483
E06000023,"Bristol, City of",-0.533946923,0.301347817,0.055328931,1.963448792
E06000024,North Somerset,2.53937127,3.945916449,1.403858737,2.559198766
E06000025,South Gloucestershire,-0.559578442,0.982841334,-2.141980655,-0.702083686
E06000026,Plymouth,5.239417454,5.163502444,1.359705406,1.955510335
E06000027,Torbay,5.821244707,6.197171426,3.692452724,4.504277201
E06000028,Bournemouth,-0.661395496,-0.106964228,-2.035689632,-0.658382919
E06000029,Poole,0.312393878,1.660561566,0.481190598,1.624968867
E06000030,Swindon,-0.895379776,0.549739767,1.287165254,2.770154553
E06000031,Peterborough,2.194657817,3.515549573,9.983976085,11.55817439
E06000032,Luton,-0.597241788,0.55699635,2.216730149,3.653415
E06000033,Southend-on-Sea,-0.249587724,1.144336002,0.56013683,2.170987687
E06000034,Thurrock,-5.104676805,-2.744204586,-1.871396975,0.594094275
E06000035,Medway,-5.087235294,-3.961214366,-2.882610409,-1.715487326
E06000036,Bracknell Forest,-3.490626914,-0.95645483,-4.247655823,-2.171940576
E06000037,West Berkshire,-1.237675021,0.241367947,1.155243202,2.535874233
E06000038,Reading,1.924484996,3.594753082,7.609635446,10.22067592
E06000039,Slough,-5.856151771,-3.609349336,1.378191562,3.930314967
E06000040,Windsor and Maidenhead,-3.59112798,-1.852135063,-1.910104803,0.208173664
E06000041,Wokingham,-0.240495528,1.889002044,0.204946008,1.730315178
E06000042,Milton Keynes,-2.829158798,-0.542956521,2.082575856,4.220761962
E06000043,Brighton and Hove,-0.809507021,-0.408642432,-2.113878426,-0.92191937
E06000044,Portsmouth,-0.748173709,-0.406789482,-2.018234709,-0.997917794
E06000045,Southampton,0.582059832,1.149619911,-0.756385144,0.547953222
E06000046,Isle of Wight,-1.958935733,-1.00667535,-0.502190642,-0.10794754
E06000047,County Durham,0.470685096,1.244750055,0.236669086,0.928107592
E06000057,Northumberland,-1.17844572,-0.485455375,-0.452911563,0.202331532
E06000049,Cheshire East,-1.154677618,0.069819853,0.918890274,2.073058409
E06000050,Cheshire West and Chester,2.67164906,3.555913263,4.597419459,6.036990621
E06000051,Shropshire,-7.173221991,-5.801729279,-5.811045877,-4.425387396
E06000052,Cornwall,1.571134857,2.528319484,-0.621897356,0.327768831
E06000053,Isles of Scilly,-3.712167856,-3.489437847,-9.149120172,-7.741563223
E06000054,Wiltshire,-2.885128713,-0.924435876,-2.217706427,-0.479476836
E06000055,Bedford,0.0903585,1.484163319,2.893345219,4.624826893
E06000056,Central Bedfordshire,-0.95994696,0.98695155,-3.212405561,-1.208681074
E07000004,Aylesbury Vale,-4.005899752,-1.950821614,-6.79516738,-4.64134201
