AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,1.307125504,1.602493324,2.01334205,2.687162164
E06000002,Middlesbrough,5.354490541,5.522666015,6.53741118,7.294170549
E06000003,Redcar and Cleveland,3.54843498,3.341794705,3.472593412,3.704617732
E06000004,Stockton-on-Tees,-2.305056652,-1.50326372,-0.975984214,-0.215086555
E06000005,Darlington,-1.145209127,-0.177827528,1.538980875,2.45524447
E06000006,Halton,1.700671986,2.318121039,2.868763502,3.621265039
E06000007,Warrington,0.034160265,1.327052251,0.783081872,1.946497013
E06000008,Blackburn with Darwen,2.115878111,2.721723853,6.214867249,6.863250606
E06000009,Blackpool,8.753876799,8.766562139,10.1450317,10.43338337
E06000010,"Kingston upon Hull, City of",0.604444287,0.760240933,2.06193572,2.728179832
E06000011,East Riding of Yorkshire,-0.876314891,0.169870226,-0.93268505,-0.128015619
E06000012,North East Lincolnshire,-0.51089094,-0.237098516,0.744440462,1.153835621
E06000013,North Lincolnshire,-3.654749205,-2.930077503,-2.437222124,-1.861521352
E06000014,York,-1.606788249,-0.668041736,-3.542880066,-2.522124048
E06000015,Derby,0.053127678,0.877814112,2.44476719,3.428816984
E06000016,Leicester,1.58856031,2.119901665,4.444043319,5.479774132
E06000017,Rutland,-8.089786232,-7.209675306,-7.953729061,-5.719579746
E06000018,Nottingham,-1.928312325,-1.630099394,-1.371795371,-0.196845401
E06000019,"Herefordshire, County of",-3.577699911,-2.443247394,-4.403951344,-3.342084848
E06000020,Telford and Wrekin,-1.521231551,-0.89940107,1.044123781,1.983835033
E06000021,Stoke-on-Trent,1.832829799,2.201928892,4.454931935,5.110191768
E06000022,Bath and North East Somerset,1.7260305,2.030624171,0.208767088,1.037336811
E06000023,"Bristol, City of",-0.490264818,0.276694604,0.05080248,1.802819387
E06000024,North Somerset,2.331625747,3.623101709,1.289009298,2.349831159
