AREACD,AREANM,% difference between SPDv1.0 & Census 2011,% difference between SPDv2.0 & Census 2011,% difference between SPDv1.0 & Official estimates 2015,% difference between SPDv2.0 & Official estimates 2015
E06000001,Hartlepool,1.553327991,1.904329559,2.392563339,3.193300254
E06000002,Middlesbrough,6.363030946,6.562882964,7.768759572,8.668057693
E06000003,Redcar and Cleveland,4.216797362,3.971235538,4.126670722,4.40239778
E06000004,Stockton-on-Tees,-2.739223591,-1.786409649,-1.159814871,-0.255598996
E06000005,Darlington,-1.360913996,-0.211322078,1.828854278,2.917699905
E06000006,Halton,2.021000577,2.75474871,3.409106954,4.303345263
E06000007,Warrington,0.040594492,1.577008022,0.930578577,2.313127763
E06000008,Blackburn with Darwen,2.51441249,3.234371781,7.385463159,8.155972199
E06000009,Blackpool,10.40270564,10.41778032,12.05589031,12.39855422
E06000010,"Kingston upon Hull, City of",0.718293864,0.903435452,2.450309828,3.24204377
E06000011,East Riding of Yorkshire,-1.041372419,0.201865984,-1.108360131,-0.152127889
E06000012,North East Lincolnshire,-0.607119359,-0.281757,0.884658897,1.371165325
E06000013,North Lincolnshire,-4.343136311,-3.4819697,-2.896282976,-2.212146586
E06000014,York,-1.90943345,-0.793870156,-4.210196157,-2.997176527
E06000015,Derby,0.063134495,1.043154025,2.905249186,4.074648823
E06000016,Leicester,1.887772204,2.519193898,5.281097229,6.511912218
E06000017,Rutland,-9.613530876,-8.567647422,-9.451846775,-6.79688621
E06000018,Nottingham,-2.291517914,-1.937135346,-1.630178694,-0.233922045
E06000019,"Herefordshire, County of",-4.251574463,-2.90344313,-5.233453766,-3.97158033
E06000020,Telford and Wrekin,-1.807761796,-1.068806976,1.240788806,2.357498554
E06000021,Stoke-on-Trent,2.17805086,2.616671292,5.294036762,6.07271749
E06000022,Bath and North East Somerset,2.051135473,2.413100619,0.248089231,1.232723483
E06000023,"Bristol, City of",-0.58260822,0.328811175,0.060371337,2.142387864
E06000024,North Somerset,2.770797085,4.305527878,1.531799522,2.792431562
E06000025,South Gloucestershire,-0.610575671,1.072412662,-2.337190243,-0.766068142
E06000026,Plymouth,5.716912207,5.634078677,1.483622273,2.133725935
E06000027,Torbay,6.351764335,6.761951169,4.028964716,4.914774884
E06000028,Bournemouth,-0.721671831,-0.116712422,-2.221212379,-0.718384702
E06000029,Poole,0.34086392,1.811896985,0.525043943,1.773060542
E06000030,Swindon,-0.976980288,0.599840347,1.404471169,3.022612823
E06000031,Peterborough,2.394668143,3.835939481,10.89386659,12.61152959
E06000032,Luton,-0.651671468,0.60775826,2.418752039,3.986369285
E06000033,Southend-on-Sea,-0.272333922,1.248625161,0.611184947,2.368840833
E06000034,Thurrock,-5.569891957,-2.994297903,-2.041946897,0.648237107
E06000035,Medway,-5.550860913,-4.322219973,-3.145317352,-1.871828409
E06000036,Bracknell Forest,-3.808745494,-1.043621422,-4.634766296,-2.369880564
E06000037,West Berkshire,-1.350470639,0.263365036,1.260526389,2.766981346
E06000038,Reading,2.099873099,3.922361208,8.303140217,11.15213809
E06000039,Slough,-6.389852658,-3.938287693,1.503793166,4.288504554
E06000040,Windsor and Maidenhead,-3.918405732,-2.020929548,-2.084182365,0.227145588
E06000041,Wokingham,-0.262413109,2.061156405,0.22362378,1.888007598
E06000042,Milton Keynes,-3.086994425,-0.59243891,2.272371583,4.605421461
E06000043,Brighton and Hove,-0.883281512,-0.445884095,-2.306526915,-1.00593857
E06000044,Portsmouth,-0.816358583,-0.443862276,-2.2021667,-1.088863117
E06000045,Southampton,0.635105905,1.254390619,-0.825318368,0.597890985
E06000046,Isle of Wight,-2.137463506,-1.098418793,-0.547957829,-0.117785348
E06000047,County Durham,0.513581022,1.358190456,0.258237943,1.012690756
E06000057,Northumberland,-1.285843471,-0.529697392,-0.494187696,0.220771033
E06000049,Cheshire East,-1.259909261,0.076182891,1.002633417,2.261986762
E06000050,Cheshire West and Chester,2.915130024,3.879981719,5.016405671,6.587172272
E06000051,Shropshire,-7.826954184,-6.330470368,-6.340636034,-4.828695451
E06000052,Cornwall,1.714320365,2.758738094,-0.678574024,0.357640071
E06000053,Isles of Scilly,-4.050476588,-3.80744806,-9.982926014,-8.447091242
E06000054,Wiltshire,-3.148065163,-1.008684417,-2.41981729,-0.523173998
E06000055,Bedford,0.098593329,1.619422669,3.15703048,5.046310883
E06000056,Central Bedfordshire,-1.047431807,1.076897463,-3.505168414,-1.318834326
E07000004,Aylesbury Vale,-4.370977765,-2.128609907,-7.414445534,-5.064331107
E07000005,Chiltern,-0.820701326,1.026839917,-0.356758102,1.234496344
E07000006,South Bucks,-4.462467335,-0.65655924,-3.454641686,-0.596429186
E07000007,Wycombe,-2.591015664,-0.679985674,-1.78131468,0.025345993
E07000008,Cambridge,-4.549955206,-4.050007763,2.153995698,3.532280308
E07000009,East Cambridgeshire,-7.7481029,-5.759444461,-4.343756473,-3.00485744
E07000010,Fenland,-0.266023078,0.921713735,3.15822494,4.3153409
E07000011,Huntingdonshire,-5.865345177,-4.302937652,-2.519381285,-1.262750586
E07000012,South Cambridgeshire,-2.759350583,-0.099576487,-2.108550197,-0.11291685
E07000026,Allerdale,-0.370172706,0.392383086,-0.417265251,0.56681612
E07000027,Barrow-in-Furness,3.722359102,4.231245094,5.019671741,5.474323415
E07000028,Carlisle,-0.748551543,0.13112107,0.811837555,1.366263097
E07000029,Copeland,-2.853786057,-2.226913589,-2.32154127,-1.814184537
E07000030,Eden,-2.868923195,-1.894507792,-2.203426835,-1.354649195
E07000031,South Lakeland,-1.911044445,-0.556096679,-1.440422206,1.38E-02
E07000032,Amber Valley,-1.99754077,-0.906115981,-1.985027053,-1.055804267
E07000033,Bolsover,-1.070322849,-0.136436799,-0.596562678,0.334992811
E07000034,Chesterfield,-1.124556452,-0.503814937,-0.965760613,0.270070999
E07000035,Derbyshire Dales,-3.036467697,-1.5558761,-1.735850619,-0.737485704
E07000036,Erewash,-1.581131076,-0.412399787,-1.845265649,-0.849383346
E07000037,High Peak,-0.378950279,0.791279751,-0.676827575,0.637817308
E07000038,North East Derbyshire,-1.205703855,-0.432539449,-0.827490989,-0.406580968
E07000039,South Derbyshire,-5.526836447,-3.729199806,-5.994380717,-4.247816547
E07000040,East Devon,1.343293353,2.629998626,-0.85006847,0.47541828
E07000041,Exeter,0.610674718,1.485015363,-7.191380882,-5.385825615
E07000042,Mid Devon,-1.299172055,0.227240353,-1.490379812,-0.545425068
E07000043,North Devon,3.700098038,4.776594135,2.736503621,3.509698544
E07000044,South Hams,3.451649202,4.544242038,1.398640571,2.493045174
E07000045,Teignbridge,2.087491445,3.387683957,0.357410031,1.780123968
E07000046,Torridge,1.559907066,2.683711293,-0.511705366,0.506318965
E07000047,West Devon,-1.186360856,0.609842898,-1.814665676,-0.895847519
E07000048,Christchurch,3.73E-03,1.696738449,-0.145515619,0.905834722
E07000049,East Dorset,1.232537166,2.630913968,1.000074422,1.899537979
E07000050,North Dorset,-3.843391602,-2.112954688,-4.441851352,-2.314305626
E07000051,Purbeck,-2.84126538,-0.777776451,-2.614475114,-0.737614198
E07000052,West Dorset,-0.442276623,0.505202137,0.464108838,1.599581041
E07000053,Weymouth and Portland,-0.405307449,-0.098588332,1.771878039,2.607152914
E07000061,Eastbourne,-3.173906036,-1.911883404,-1.79744158,-0.278673142
E07000062,Hastings,-3.076760942,-2.095994005,-0.758740767,0.448612809
E07000063,Lewes,-3.863895153,-2.082952392,-3.305446853,-1.960227517
E07000064,Rother,-2.63003307,-0.884557887,-2.988870456,-1.573190856
E07000065,Wealden,-4.769745936,-2.819902525,-4.368633998,-2.812072953
E07000066,Basildon,0.595231158,2.212173534,2.033881216,3.924379458
E07000067,Braintree,-2.790699212,-1.202427434,-2.34652391,-1.070594114
E07000068,Brentwood,-1.901003703,0.380685663,-0.781368039,1.722294851
E07000069,Castle Point,4.619206555,5.05314427,3.696444166,4.557013101
E07000070,Chelmsford,-1.439926968,-0.085886692,-1.222922597,0.24603172
E07000071,Colchester,1.669420072,3.390397323,0.723795017,2.669115615
E07000072,Epping Forest,1.59768504,4.210386935,1.473930964,4.742452009
E07000073,Harlow,5.322732881,6.437806113,7.427205354,9.101147882
E07000074,Maldon,2.064690884,3.388062122,1.140590372,0.65704841
E07000075,Rochford,-0.951385159,0.319271204,-1.681012558,0.067072839
E07000076,Tendring,5.02369539,6.041103663,5.20161329,6.35696549
