AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,1.078476576,1.322177179,1.661158192,2.217110322
E06000002,Middlesbrough,4.417856283,4.556613662,5.393854529,6.018237766
E06000003,Redcar and Cleveland,2.927724991,2.757231266,2.86515001,3.056587475
E06000004,Stockton-on-Tees,-1.901844617,-1.240305313,-0.805260175,-0.17746254
E06000005,Darlington,-0.944883421,-0.146721048,1.269774645,2.025760831
E06000006,Halton,1.403181938,1.912623717,2.366945046,2.987815252
E06000007,Warrington,0.028184781,1.094917636,0.646101276,1.606006023
E06000008,Blackburn with Darwen,1.745758132,2.245626308,5.127731595,5.662696493
E06000009,Blackpool,7.2226049,7.233071257,8.370412027,8.608323788
E06000010,"Kingston upon Hull, City of",0.49871187,0.627255788,1.701251614,2.250952975
E06000011,East Riding of Yorkshire,-0.723025508,0.140155677,-0.769535118,-0.105622487
E06000012,North East Lincolnshire,-0.421523343,-0.195624058,0.614219214,0.952000925
E06000013,North Lincolnshire,-3.015442201,-2.417533696,-2.010891044,-1.535894729
E06000014,York,-1.325720814,-0.551184536,-2.923141771,-2.080941499
E06000015,Derby,0.043834319,0.724262479,2.017116289,2.829031173
E06000016,Leicester,1.310681398,1.749077866,3.666669041,4.521224642
E06000017,Rutland,-6.674680375,-5.948522853,-6.562423005,-4.719082259
E06000018,Nottingham,-1.591002292,-1.344954258,-1.131834066,-0.162412219
E06000019,"Herefordshire, County of",-2.951870754,-2.015862344,-3.633590155,-2.757470656
E06000020,Telford and Wrekin,-1.255130122,-0.742073338,0.861480428,1.63681269
E06000021,Stoke-on-Trent,1.512222046,1.81675648,3.675652966,4.216291473
E06000022,Bath and North East Somerset,1.424104615,1.675417238,0.172248505,0.855880669
E06000023,"Bristol, City of",-0.404505244,0.2282938,0.041915856,1.487461206
E06000024,North Somerset,1.923766113,2.989330643,1.063529346,1.938786944
E06000025,South Gloucestershire,-0.423923062,0.744576768,-1.622712617,-0.53188158
E06000026,Plymouth,3.969255647,3.911744276,1.030079853,1.481447224
E06000027,Torbay,4.410033869,4.694826838,2.79731267,3.412331213
E06000028,Bournemouth,-0.501057194,-0.081033506,-1.542189115,-0.498774939
E06000029,Poole,0.236662028,1.258001187,0.364538332,1.23103702
E06000030,Swindon,-0.678318012,0.416469521,0.975125193,2.098601934
E06000031,Peterborough,1.662619559,2.663295131,7.563618246,8.756192717
E06000032,Luton,-0.4524559,0.421966932,1.679341022,2.767738636
E06000033,Southend-on-Sea,-0.189081609,0.866921214,0.424346083,1.644687641
E06000034,Thurrock,-3.867179398,-2.078942868,-1.417724981,0.450071421
E06000035,Medway,-3.853966132,-3.000919975,-2.183795764,-1.299611611
E06000036,Bracknell Forest,-2.644414329,-0.724586993,-3.217921078,-1.645409527
E06000037,West Berkshire,-0.937632592,0.182854506,0.875184244,1.921116843
E06000038,Reading,1.457943179,2.723297789,5.764875338,7.742936303
E06000039,Slough,-4.436478614,-2.734355557,1.044084516,2.977511339
E06000040,Windsor and Maidenhead,-2.7205515,-1.403132623,-1.447049093,0.157707321
E06000041,Wokingham,-0.182193582,1.431062154,0.155262127,1.310844832
E06000042,Milton Keynes,-2.14330212,-0.411330698,1.577708982,3.197546941
E06000043,Brighton and Hove,-0.613262895,-0.3095776,-1.60142305,-0.698423765
E06000044,Portsmouth,-0.566798264,-0.30817385,-1.528965689,-0.755998329
E06000045,Southampton,0.440954419,0.870924175,-0.573019049,0.415116077
E06000046,Isle of Wight,-1.484042222,-0.762632841,-0.380447456,-0.081778439
E06000047,County Durham,0.356579618,0.942992466,0.179294762,0.703111812
E06000057,Northumberland,-0.892761909,-0.367769224,-0.34311482,0.153281463
E06000049,Cheshire East,-0.874755772,0.052893828,0.696128995,1.570498795
E06000050,Cheshire West and Chester,2.023976561,2.693873684,3.48289353,4.573477743
E06000051,Shropshire,-5.434259084,-4.395249454,-4.402307482,-3.352566209
E06000052,Cornwall,1.19025368,1.915393548,-0.471134361,0.248309721
E06000053,Isles of Scilly,-2.812248376,-2.64351352,-6.931151646,-5.864820623
E06000054,Wiltshire,-2.185703571,-0.700330209,-1.680080627,-0.363240027
E06000055,Bedford,0.068453409,1.124366151,2.191928196,3.503656737
E06000056,Central Bedfordshire,-0.727232545,0.747690568,-2.433640577,-0.91566748
E07000004,Aylesbury Vale,-3.03477254,-1.477895162,-5.147854076,-3.51616819
E07000005,Chiltern,-0.569813433,0.712935583,-0.247697369,0.857111568
E07000006,South Bucks,-3.098293804,-0.455849483,-2.398559839,-0.414101149
E07000007,Wycombe,-1.798943762,-0.47211447,-1.236767874,0.017597738
E07000008,Cambridge,-3.159036687,-2.81192287,1.495520532,2.452464381
E07000009,East Cambridgeshire,-5.379512589,-3.998785817,-3.01587278,-2.086274361
E07000010,Fenland,-0.184699986,0.639946411,2.19275751,2.99614383
E07000011,Huntingdonshire,-4.072312749,-2.987532247,-1.749207969,-0.876728505
E07000012,South Cambridgeshire,-1.9158188,-0.069136016,-1.463967693,-0.078398238
E07000026,Allerdale,-0.257011136,0.272431817,-0.289707519,0.393540779
E07000027,Barrow-in-Furness,2.584436205,2.93775606,3.485161164,3.8008261
E07000028,Carlisle,-0.519719795,0.091037439,0.563659311,0.948597305
E07000029,Copeland,-1.981385408,-1.546147469,-1.611847526,-1.259589435
E07000030,Eden,-1.991895132,-1.315357921,-1.529840601,-0.940533766
E07000031,South Lakeland,-1.326839329,-0.386098265,-1.00008602,9.57E-03
E07000032,Amber Valley,-1.38689378,-0.629116881,-1.378205499,-0.733045549
E07000033,Bolsover,-0.74312581,-0.094728153,-0.414193832,0.232585714
E07000034,Chesterfield,-0.780780234,-0.349799019,-0.670528185,0.18751046
E07000035,Derbyshire Dales,-2.108221382,-1.080245729,-1.205202148,-0.512036776
E07000036,Erewash,-1.097780275,-0.286329424,-1.28116907,-0.589727378
E07000037,High Peak,-0.263105411,0.549386016,-0.4699218,0.442836948
E07000038,North East Derbyshire,-0.837120925,-0.300312404,-0.5745275,-0.282289415
E07000039,South Derbyshire,-3.83728593,-2.589185709,-4.161902203,-2.94926163
E07000040,East Devon,0.932649397,1.826009657,-0.590203059,0.330083203
E07000041,Exeter,0.423991831,1.031047076,-4.992980151,-3.739382024
E07000042,Mid Devon,-0.902015953,0.157773116,-1.034771616,-0.378688959
E07000043,North Devon,2.568980334,3.316392234,1.89995614,2.436785849
E07000044,South Hams,2.396482155,3.155070031,0.971077005,1.730922791
E07000045,Teignbridge,1.449346589,2.352071046,0.248150004,1.235941162
E07000046,Torridge,1.083044432,1.863302395,-0.355277349,0.351537568
E07000047,West Devon,-0.823691069,0.423414297,-1.25992349,-0.621987481
E07000048,Christchurch,2.59E-03,1.178046544,-0.101031584,0.628921602
E07000049,East Dorset,0.85575131,1.826645179,0.694352283,1.318850382
E07000050,North Dorset,-2.668469144,-1.467025734,-3.083980114,-1.606823813
E07000051,Purbeck,-1.972692294,-0.540010666,-1.815231673,-0.51212599
E07000052,West Dorset,-0.30707293,0.350762153,0.322231051,1.110590097
E07000053,Weymouth and Portland,-0.28140521,-0.068449939,1.230216008,1.810147865
E07000061,Eastbourne,-2.203644905,-1.327421819,-1.24796479,-0.193482933
E07000062,Hastings,-2.136197007,-1.455249922,-0.526794179,0.311472148
E07000063,Lewes,-2.682704771,-1.446195121,-2.294973775,-1.360987166
E07000064,Rother,-1.826033571,-0.614149083,-2.075174588,-1.092267375
E07000065,Wealden,-3.311637525,-1.957860051,-3.03314526,-1.952423974
E07000066,Basildon,0.413269357,1.53591344,1.412124974,2.724699061
E07000067,Braintree,-1.937584172,-0.834846104,-1.629192988,-0.743314149
E07000068,Brentwood,-1.319868036,0.264310289,-0.542504308,1.19579037
E07000069,Castle Point,3.207117941,3.508401162,2.566443449,3.163936987
E07000070,Chelmsford,-0.999742176,-0.059631183,-0.849075908,0.170819974
E07000071,Colchester,1.159079379,2.353954938,0.502531324,1.853168606
E07000072,Epping Forest,1.109273702,2.923274228,1.023351171,3.292687335
E07000073,Harlow,3.695576699,4.469772727,5.156713226,6.318932549
E07000074,Maldon,1.433516146,2.352333607,0.791912594,0.456189114
E07000075,Rochford,-0.660547299,0.221670192,-1.167128049,0.046568713
E07000076,Tendring,3.487954786,4.194341973,3.611483293,4.413645034
E07000077,Uttlesford,-3.016470015,-1.325749437,-3.211272565,-2.036523203
E07000078,Cheltenham,-3.72262599,-2.951762954,-1.421774655,-0.298148233
E07000079,Cotswold,-1.783543155,-0.678733103,-0.050923696,1.075218547
E07000080,Forest of Dean,0.213162072,1.179194673,-0.526150355,0.492441523
E07000081,Gloucester,-0.63741857,0.249469001,0.533017937,1.676034422
E07000082,Stroud,-0.208748605,0.730620057,-0.196549028,0.681015606
E07000083,Tewkesbury,-0.82410554,0.704648019,-1.788240494,-0.708736476
E07000084,Basingstoke and Deane,-1.191086091,0.44674958,0.143965961,1.328478131
E07000085,East Hampshire,0.046087084,1.338667554,0.660060094,1.556230827
E07000086,Eastleigh,-2.964108742,-1.507291389,-2.416174057,-1.503866705
E07000087,Fareham,-0.830633615,5.54E-03,-1.683777412,-0.789000764
E07000088,Gosport,-2.299029892,-1.741143935,-2.181905801,-1.596552116
E07000089,Hart,0.281753762,1.660577436,0.411653354,1.564810565
E07000090,Havant,0.247437535,0.589332484,-0.421334631,0.191515775
E07000091,New Forest,-0.393921671,0.633364188,-0.811179492,-0.053986322
E07000092,Rushmoor,-0.017171372,1.287856738,2.358796878,3.364697017
E07000093,Test Valley,-1.848001781,-0.628065152,0.205294679,1.274880013
E07000094,Winchester,-2.5569007,-1.012770695,-1.211399266,-0.351100421
E07000095,Broxbourne,2.65E-03,1.348822283,1.603303349,2.950335786
E07000096,Dacorum,-2.431155485,-1.118057764,-2.170328488,-1.084754853
E07000242,East Hertfordshire,-3.232522481,-1.280590049,-3.012949674,-1.417002475
E07000098,Hertsmere,0.055741226,1.392290579,1.959703921,3.501963291
E07000099,North Hertfordshire,-2.073348313,-0.697939534,-1.461157591,-0.429973597
E07000240,St Albans,-1.430544096,-0.034354143,0.014447634,1.477064114
E07000243,Stevenage,-0.126922834,1.047851186,1.218026344,2.312816974
