AREACD,AREANM,SPD V1.0 & Census 2011,SPD V2.0 & Census 2011,SPD V1.0 & Official Estimates 2015,SPD V2.0 & Official Estimates 2015
E06000001,Hartlepool,1.397995192,1.713896603,2.153307005,2.873970229
E06000002,Middlesbrough,5.726727852,5.906594668,6.991883615,7.801251924
E06000003,Redcar and Cleveland,3.795117626,3.574111984,3.71400365,3.962158002
E06000004,Stockton-on-Tees,-2.465301232,-1.607768684,-1.043833384,-0.230039097
E06000005,Darlington,-1.224822596,-0.19018987,1.64596885,2.625929915
E06000006,Halton,1.818900519,2.479273839,3.068196258,3.873010737
E06000007,Warrington,0.036535043,1.41930722,0.837520719,2.081814987
E06000008,Blackburn with Darwen,2.262971241,2.910934603,6.646916843,7.340374979
E06000009,Blackpool,9.362435079,9.376002287,10.85030128,11.1586988
E06000010,"Kingston upon Hull, City of",0.646464478,0.813091907,2.205278845,2.917839393
E06000011,East Riding of Yorkshire,-0.937235177,0.181679386,-0.997524118,-0.1369151
E06000012,North East Lincolnshire,-0.546407423,-0.2535813,0.796193008,1.234048792
E06000013,North Lincolnshire,-3.90882268,-3.13377273,-2.606654678,-1.990931927
E06000014,York,-1.718490105,-0.71448314,-3.789176541,-2.697458875
E06000015,Derby,0.056821046,0.938838623,2.614724267,3.667183941
E06000016,Leicester,1.698994984,2.267274508,4.752987506,5.860720996
E06000017,Rutland,-8.652177788,-7.71088268,-8.506662097,-6.117197589
E06000018,Nottingham,-2.062366123,-1.743421812,-1.467160825,-0.21052984
E06000019,"Herefordshire, County of",-3.826417017,-2.613098817,-4.71010839,-3.574422297
E06000020,Telford and Wrekin,-1.626985616,-0.961926278,1.116709926,2.121748698
E06000021,Stoke-on-Trent,1.960245774,2.355004162,4.764633086,5.465445741
E06000022,Bath and North East Somerset,1.846021925,2.171790557,0.223280308,1.109451135
E06000023,"Bristol, City of",-0.524347398,0.295930058,0.054334204,1.928149077
E06000024,North Somerset,2.493717377,3.87497509,1.37861957,2.513188406
E06000025,South Gloucestershire,-0.549518104,0.965171396,-2.103471219,-0.689461328
E06000026,Plymouth,5.145220986,5.070670809,1.335260045,1.920353341
E06000027,Torbay,5.716587902,6.085756052,3.626068244,4.423297396
E06000028,Bournemouth,-0.649504648,-0.10504118,-1.999091141,-0.646546232
E06000029,Poole,0.306777528,1.630707287,0.472539549,1.595754488
E06000030,Swindon,-0.879282259,0.539856313,1.264024052,2.720351541
E06000031,Peterborough,2.155201329,3.452345533,9.804479931,11.35037663
E06000032,Luton,-0.586504322,0.546982434,2.176876835,3.587732357
E06000033,Southend-on-Sea,-0.24510053,1.123762645,0.550066452,2.13195675
E06000034,Thurrock,-5.012902762,-2.694868113,-1.837752207,0.583413397
E06000035,Medway,-4.995774822,-3.889997976,-2.830785617,-1.684645568
E06000036,Bracknell Forest,-3.427870944,-0.93925928,-4.171289667,-2.132892508
E06000037,West Berkshire,-1.215423575,0.237028532,1.13447375,2.490283212
E06000038,Reading,1.889885789,3.530125088,7.472826195,10.03692428
E06000039,Slough,-5.750867392,-3.544458923,1.35341385,3.859654099
E06000040,Windsor and Maidenhead,-3.526565159,-1.818836594,-1.875764129,0.20443103
E06000041,Wokingham,-0.236171798,1.855040764,0.201261402,1.699206838
E06000042,Milton Keynes,-2.778294982,-0.533195019,2.045134424,4.144879315
E06000043,Brighton and Hove,-0.794953361,-0.401295685,-2.075874224,-0.905344713
E06000044,Portsmouth,-0.734722725,-0.399476048,-1.98195003,-0.979976805
E06000045,Southampton,0.571595314,1.128951557,-0.742786531,0.538101887
E06000046,Isle of Wight,-1.923717156,-0.988576914,-0.493162046,-0.106006813
E06000047,County Durham,0.46222292,1.222371411,0.232414149,0.91142168
E06000057,Northumberland,-1.157259124,-0.476727653,-0.444768927,0.198693929
E06000049,Cheshire East,-1.133918335,0.068564602,0.902370075,2.035788086
E06000050,Cheshire West and Chester,2.623617021,3.491983547,4.514765104,5.928455045
E06000051,Shropshire,-7.044258766,-5.697423331,-5.706572431,-4.345825906
E06000052,Cornwall,1.542888329,2.482864285,-0.610716622,0.321876064
E06000053,Isles of Scilly,-3.645428929,-3.426703254,-8.984633412,-7.602382118
E06000054,Wiltshire,-2.833258646,-0.907815976,-2.177835561,-0.470856598
E06000055,Bedford,0.088733996,1.457480402,2.841327432,4.541679795
E06000056,Central Bedfordshire,-0.942688626,0.969207717,-3.154651573,-1.186950893
