AREACD,AREANM,% difference between SPDv1.0 & Census 2011,% difference between SPDv2.0 & Census 2011,% difference between SPDv1.0 & Official estimates 2015,% difference between SPDv2.0 & Official estimates 2015
E06000001,Hartlepool,1.04446476,1.2804798,1.6087704,2.14718952
E06000002,Middlesbrough,4.27853076,4.41291216,5.22374904,5.82844116
E06000003,Redcar and Cleveland,2.8353936,2.67027672,2.77479204,2.96019216
E06000004,Stockton-on-Tees,-1.84186632,-1.20118992,-0.77986476,-0.17186592
E06000005,Darlington,-0.91508472,-0.14209392,1.22972988,1.9618746
E06000006,Halton,1.35892992,1.85230548,2.29229892,2.8935888
E06000007,Warrington,0.02729592,1.06038732,0.62572524,1.55535756
E06000008,Blackburn with Darwen,1.69070232,2.1748062,4.9660188,5.48411256
E06000009,Blackpool,6.99482628,7.00496256,8.10643512,8.33684388
E06000010,"Kingston upon Hull, City of",0.48298404,0.60747408,1.6475994,2.17996488
E06000011,East Riding of Yorkshire,-0.70022352,0.1357356,-0.74526636,-0.10229148
E06000012,North East Lincolnshire,-0.4082298,-0.18945468,0.59484864,0.92197776
E06000013,North Lincolnshire,-2.92034448,-2.34129216,-1.94747376,-1.48745736
E06000014,York,-1.28391168,-0.53380188,-2.83095492,-2.01531504
E06000015,Derby,0.04245192,0.70142148,1.95350268,2.73981228
E06000016,Leicester,1.26934656,1.69391736,3.55103364,4.3786392
E06000017,Rutland,-6.4641816,-5.76092484,-6.35546448,-4.570257
E06000018,Nottingham,-1.540827,-1.30253856,-1.09613952,-0.15729024
E06000019,"Herefordshire, County of",-2.85877788,-1.95228828,-3.51899796,-2.67050856
E06000020,Telford and Wrekin,-1.2155472,-0.71867064,0.834312,1.58519268
E06000021,Stoke-on-Trent,1.46453124,1.7594616,3.55973424,4.08332268
E06000022,Bath and North East Somerset,1.37919276,1.62257976,0.16681632,0.82888884
E06000023,"Bristol, City of",-0.3917484,0.22109412,0.04059396,1.44055128
E06000024,North Somerset,1.86309648,2.8950564,1.02998892,1.8776436
E06000025,South Gloucestershire,-0.41055384,0.72109512,-1.57153728,-0.51510768
E06000026,Plymouth,3.8440776,3.78837996,0.99759432,1.43472696
E06000027,Torbay,4.27095504,4.54676652,2.70909408,3.30471684
E06000028,Bournemouth,-0.4852554,-0.07847796,-1.49355324,-0.48304512
E06000029,Poole,0.22919844,1.21832772,0.35304192,1.19221392
E06000030,Swindon,-0.65692596,0.40333536,0.94437276,2.03241852
E06000031,Peterborough,1.61018568,2.57930304,7.32508512,8.48004948
E06000032,Luton,-0.43818684,0.4086594,1.6263798,2.68045272
E06000033,Southend-on-Sea,-0.18311856,0.8395812,0.41096352,1.59281928
E06000034,Thurrock,-3.74522052,-2.01337944,-1.37301432,0.43587756
E06000035,Medway,-3.73242396,-2.90628024,-2.1149256,-1.25862588
E06000036,Bracknell Forest,-2.56101768,-0.70173576,-3.1164378,-1.5935184
E06000037,West Berkshire,-0.90806256,0.17708784,0.84758364,1.86053076
E06000038,Reading,1.41196416,2.6374134,5.583069,7.49874804
E06000039,Slough,-4.2965658,-2.64812244,1.01115732,2.88360984
E06000040,Windsor and Maidenhead,-2.63475372,-1.35888216,-1.40141364,0.15273372
E06000041,Wokingham,-0.17644776,1.38593088,0.15036564,1.26950484
E06000042,Milton Keynes,-2.075709,-0.3983586,1.52795292,3.0967062
E06000043,Brighton and Hove,-0.59392248,-0.29981448,-1.55091912,-0.67639764
E06000044,Portsmouth,-0.5489232,-0.298455,-1.48074684,-0.73215648
E06000045,Southampton,0.42704808,0.84345792,-0.5549478,0.4020246
E06000046,Isle of Wight,-1.43724012,-0.73858176,-0.36844932,-0.0791994
E06000047,County Durham,0.3453342,0.9132534,0.17364036,0.68093784
E06000057,Northumberland,-0.86460696,-0.35617092,-0.33229404,0.14844744
E06000049,Cheshire East,-0.84716868,0.05122572,0.67417524,1.52097012
E06000050,Cheshire West and Chester,1.9601466,2.60891724,3.37305384,4.4292444
E06000051,Shropshire,-5.26287936,-4.25663688,-4.26347232,-3.24683664
E06000052,Cornwall,1.15271676,1.85498796,-0.45627624,0.2404788
E06000053,Isles of Scilly,-2.72355876,-2.56014528,-6.71256456,-5.67986232
E06000054,Wiltshire,-2.11677324,-0.67824396,-1.62709608,-0.35178456
E06000055,Bedford,0.0662946,1.08890712,2.12280156,3.39316224
E06000056,Central Bedfordshire,-0.70429788,0.72411072,-2.35689108,-0.88679016
E07000004,Aylesbury Vale,-2.9390652,-1.43128692,-4.98550668,-3.40527912
E07000005,Chiltern,-0.55184328,0.6904518,-0.23988576,0.83008092
E07000006,South Bucks,-3.0005832,-0.4414734,-2.32291668,-0.40104168
E07000007,Wycombe,-1.74221064,-0.45722544,-1.19776404,0.01704276
E07000008,Cambridge,-3.05941044,-2.72324352,1.44835644,2.37512124
E07000009,East Cambridgeshire,-5.2098594,-3.87267648,-2.92076148,-2.02047972
E07000010,Fenland,-0.17887512,0.61976448,2.12360472,2.90165472
E07000011,Huntingdonshire,-3.9438846,-2.89331472,-1.69404336,-0.8490792
E07000012,South Cambridgeshire,-1.8553998,-0.06695568,-1.41779868,-0.0759258
E07000026,Allerdale,-0.2489058,0.26384016,-0.28057104,0.38112972
E07000027,Barrow-in-Furness,2.50293108,2.84510832,3.37524996,3.6809598
E07000028,Carlisle,-0.50332944,0.0881664,0.54588324,0.91868148
E07000029,Copeland,-1.91889864,-1.49738676,-1.56101484,-1.21986588
E07000030,Eden,-1.92907692,-1.2738756,-1.48159416,-0.91087224
E07000031,South Lakeland,-1.28499492,-0.37392192,-0.9685464,9.27E-03
E07000032,Amber Valley,-1.34315544,-0.60927648,-1.33474116,-0.70992756
E07000033,Bolsover,-0.71968992,-0.09174072,-0.40113144,0.22525068
E07000034,Chesterfield,-0.75615684,-0.33876744,-0.6493818,0.18159696
E07000035,Derbyshire Dales,-2.0417346,-1.04617812,-1.1671938,-0.49588872
E07000036,Erewash,-1.06315968,-0.27729948,-1.24076496,-0.5711292
E07000037,High Peak,-0.25480788,0.53206008,-0.45510192,0.42887124
E07000038,North East Derbyshire,-0.81072072,-0.29084148,-0.55640868,-0.27338688
E07000039,South Derbyshire,-3.7162698,-2.5075308,-4.03064868,-2.85625104
E07000040,East Devon,0.90323652,1.76842296,-0.57158988,0.3196734
E07000041,Exeter,0.41062044,0.99853104,-4.835517,-3.62145348
E07000042,Mid Devon,-0.87356916,0.15279744,-1.00213812,-0.36674628
E07000043,North Devon,2.48796264,3.21180348,1.8400374,2.35993716
E07000044,South Hams,2.32090452,3.05556888,0.94045224,1.67633484
E07000045,Teignbridge,1.40363868,2.277894,0.24032412,1.1969634
E07000046,Torridge,1.04888856,1.8045396,-0.344073,0.34045116
E07000047,West Devon,-0.7977144,0.41006112,-1.2201894,-0.60237192
E07000048,Christchurch,2.51E-03,1.1408946,-0.09784536,0.60908736
E07000049,East Dorset,0.82876356,1.76903844,0.67245456,1.27725792
E07000050,North Dorset,-2.58431388,-1.42076028,-2.98672092,-1.55614956
E07000051,Purbeck,-1.91047968,-0.5229804,-1.75798488,-0.49597512
E07000052,West Dorset,-0.2973888,0.3397002,0.31206888,1.07556552
E07000053,Weymouth and Portland,-0.27253056,-0.06629124,1.1914188,1.7530614
E07000061,Eastbourne,-2.13414876,-1.28555904,-1.20860784,-0.18738108
E07000062,Hastings,-2.06882796,-1.40935584,-0.51018072,0.30164928
E07000063,Lewes,-2.59810056,-1.4005866,-2.2225974,-1.31806584
E07000064,Rother,-1.76844612,-0.59478072,-2.00973,-1.05782064
E07000065,Wealden,-3.20719872,-1.8961152,-2.93748924,-1.89085056
E07000066,Basildon,0.40023612,1.48747548,1.36759092,2.63877048
E07000067,Braintree,-1.87647876,-0.80851764,-1.57781328,-0.71987232
E07000068,Brentwood,-1.27824348,0.25597476,-0.5253954,1.15807884
E07000069,Castle Point,3.10597536,3.39775704,2.48550576,3.0641562
E07000070,Chelmsford,-0.9682134,-0.0577506,-0.82229868,0.16543284
E07000071,Colchester,1.1225256,2.27971848,0.48668304,1.7947254
E07000072,Epping Forest,1.07429064,2.8310832,0.99107784,3.18884616
E07000073,Harlow,3.57902964,4.32880992,4.99408644,6.11965296
E07000074,Maldon,1.38830748,2.27814828,0.76693812,0.44180232
E07000075,Rochford,-0.63971568,0.2146794,-1.13032044,0.04510008
E07000076,Tendring,3.37795548,4.0620654,3.49758828,4.27445232
E07000077,Uttlesford,-2.92133988,-1.2839394,-3.10999896,-1.97229756
E07000078,Cheltenham,-3.60522588,-2.85867348,-1.37693628,-0.28874556
E07000079,Cotswold,-1.72729572,-0.65732796,-0.04931772,1.04130948
E07000080,Forest of Dean,0.2064396,1.14200652,-0.5095572,0.47691144
E07000081,Gloucester,-0.61731636,0.24160152,0.5162082,1.62317748
E07000082,Stroud,-0.20216532,0.70757856,-0.19035048,0.65953848
E07000083,Tewkesbury,-0.7981158,0.6824256,-1.73184492,-0.68638512
E07000084,Basingstoke and Deane,-1.15352292,0.43266048,0.13942572,1.28658204
E07000085,East Hampshire,0.04463364,1.29645012,0.63924384,1.50715212
E07000086,Eastleigh,-2.87062992,-1.45975608,-2.3399754,-1.4564394
E07000087,Fareham,-0.804438,5.37E-03,-1.63067628,-0.76411812
E07000088,Gosport,-2.2265256,-1.68623364,-2.11309524,-1.5462018
E07000089,Hart,0.27286812,1.60820796,0.39867108,1.51546128
E07000090,Havant,0.23963412,0.57074676,-0.40804704,0.18547596
E07000091,New Forest,-0.3814986,0.61338984,-0.7855974,-0.05228376
E07000092,Rushmoor,-0.01662984,1.24724172,2.28440772,3.25858488
E07000093,Test Valley,-1.78972152,-0.60825792,0.19882032,1.23467424
E07000094,Winchester,-2.47626396,-0.98083104,-1.17319548,-0.3400278
E07000095,Broxbourne,2.57E-03,1.3062846,1.55274012,2.85729132
E07000096,Dacorum,-2.35448436,-1.08279768,-2.10188304,-1.05054504
E07000242,East Hertfordshire,-3.13057872,-1.2402042,-2.91793056,-1.3723146
E07000098,Hertsmere,0.05398332,1.34838204,1.89790092,3.3915222
E07000099,North Hertfordshire,-2.00796132,-0.67592868,-1.4150772,-0.41641356
E07000240,St Albans,-1.38542916,-0.03327072,0.013992,1.43048208
E07000243,Stevenage,-0.12292008,1.0148052,1.17961356,2.23987788
E07000102,Three Rivers,-0.57858144,0.735252,-0.38353296,1.25531772
E07000103,Watford,-2.9288712,-0.65647116,0.83648844,3.43682256
E07000241,Welwyn Hatfield,-0.6513774,0.60469536,-3.90703776,-2.54789268
E07000105,Ashford,-0.21770832,1.1668758,-0.451992,0.663501
E07000106,Canterbury,-0.92414568,-0.13179396,-2.98190232,-1.8679086
E07000107,Dartford,-4.20274224,-2.65475268,-4.2367074,-2.40711504
E07000108,Dover,-3.02057772,-2.27805936,-4.06966476,-2.83498776
E07000109,Gravesham,-2.2603224,-1.18678728,-1.81977252,-0.54977004
E07000110,Maidstone,-2.22994272,-0.9173472,-3.55041672,-2.54664168
E07000111,Sevenoaks,-1.58965296,-0.03028908,-2.78999064,-1.76439288
E07000112,Shepway,-2.55073212,-1.65269664,-3.70467312,-2.78859264
E07000113,Swale,-0.5874774,0.65903484,-1.01954124,-0.01853712
E07000114,Thanet,1.38613572,2.2965138,0.38891904,1.61577432
E07000115,Tonbridge and Malling,-2.11679976,-1.02512316,-3.19298724,-2.05611192
E07000116,Tunbridge Wells,-7.34608728,-6.70462152,-6.53676408,-5.66134152
E07000117,Burnley,3.62512776,4.10204568,4.61755044,5.1202344
E07000118,Chorley,-3.02477724,-1.89258552,-3.3109968,-2.22326484
E07000119,Fylde,-0.25344192,0.83952636,-0.84270972,0.27469548
E07000120,Hyndburn,2.742339,3.21202968,3.63314556,4.25686788
E07000121,Lancaster,3.40032516,3.79403796,-0.17879856,0.42506832
E07000122,Pendle,0.56745516,1.01149224,2.53021272,3.15344412
E07000123,Preston,2.38027992,3.17456244,2.89677432,3.43604484
E07000124,Ribble Valley,-1.16782188,-0.26675064,-1.10396712,-0.32421336
E07000125,Rossendale,0.64958376,1.37330472,0.58197936,1.50416628
E07000126,South Ribble,0.51385968,0.85606608,1.1928756,1.63391124
E07000127,West Lancashire,2.1867462,2.78194872,2.62262508,3.3964272
E07000128,Wyre,0.7328142,1.73514372,-0.29960364,0.30069708
E07000129,Blaby,-0.79603896,-1.02E-02,-1.00430892,-0.21005964
E07000130,Charnwood,0.853221,1.65225768,-2.55726576,-1.64463564
E07000131,Harborough,-2.60710692,-1.23960552,-3.11679588,-2.0966802
E07000132,Hinckley and Bosworth,-0.26037804,0.57557244,-0.61341012,0.30891156
E07000133,Melton,-1.44354456,-0.68604096,-0.4148334,0.19798872
E07000134,North West Leicestershire,-1.69084608,-0.92694828,-2.19276684,-1.29690372
E07000135,Oadby and Wigston,0.55332024,1.20705,1.4335608,2.90365908
E07000136,Boston,2.22782616,2.90916972,4.94334996,5.70386532
E07000137,East Lindsey,3.28150092,4.131348,2.70047208,3.47588964
E07000138,Lincoln,2.1718818,2.36046228,2.30072628,2.89785192
E07000139,North Kesteven,-1.04671236,0.25276992,-1.46733888,-0.37863348
E07000140,South Holland,-1.41792228,-0.490767,-0.5722806,0.33021252
E07000141,South Kesteven,-0.57583644,0.38837568,0.2773038,0.97272312
E07000142,West Lindsey,-0.2339496,0.73277316,-0.83265096,0.0374952
E07000143,Breckland,-3.51748392,-2.57029224,-1.87156776,-0.82816656
E07000144,Broadland,-1.0917318,-0.4351524,-0.61313448,0.0729696
E07000145,Great Yarmouth,1.71345744,2.01815436,3.75201432,4.12782384
E07000146,King's Lynn and West Norfolk,-1.52837208,-0.4166808,0.09535608,0.87012372
E07000147,North Norfolk,-2.66248932,-1.9980492,-3.11882916,-2.575212
E07000148,Norwich,-0.66197784,-0.0851244,1.00409004,1.90880808
E07000149,South Norfolk,-2.93197428,-1.99045248,-2.21662464,-1.20906804
E07000150,Corby,1.84540032,3.14815116,3.00116676,4.13198916
E07000151,Daventry,0.24510876,1.25791656,0.154473,0.99282624
E07000152,East Northamptonshire,-2.39681904,-1.56007608,-1.97891832,-0.89586168
E07000153,Kettering,0.86397432,1.78443432,2.0620584,2.89523808
E07000154,Northampton,2.26398012,3.14218488,4.682148,5.6374572
E07000155,South Northamptonshire,0.87898668,2.15802504,0.2127564,1.36675788
E07000156,Wellingborough,2.47624608,3.11481504,5.00932836,5.52549756
E07000163,Craven,-1.16731944,-0.27071412,-0.43655136,0.3118224
E07000164,Hambleton,-2.71258692,-1.5158178,-3.08013552,-2.29377468
E07000165,Harrogate,-2.3548638,-1.3362978,0.10240992,0.99658632
E07000166,Richmondshire,-1.79197536,2.01135384,-5.67891828,-4.50428484
E07000167,Ryedale,-2.43705432,-1.58373756,-1.7484732,-0.84596244
E07000168,Scarborough,0.92432412,1.38758928,1.62258348,2.03184372
E07000169,Selby,-0.75207612,0.25021272,0.04885932,0.89622036
E07000170,Ashfield,-0.9509862,-0.22695132,-0.71374236,-0.06117792
E07000171,Bassetlaw,-1.15680072,-0.48270912,-0.39185208,0.11944152
E07000172,Broxtowe,-0.81982332,-0.15453888,-1.71897408,-0.93966312
E07000173,Gedling,-1.11182544,-0.27267204,-0.54362364,0.1076892
E07000174,Mansfield,-0.26994432,0.05628624,1.19036004,1.72078536
E07000175,Newark and Sherwood,-0.61558824,0.17453856,-0.36333276,0.426081
E07000176,Rushcliffe,-3.31722588,-2.33458416,-3.9394098,-2.90057136
E07000177,Cherwell,-1.38551328,-0.3045084,-0.2184816,0.85908624
E07000178,Oxford,2.81542536,3.18275772,0.5624976,1.91835768
E07000179,South Oxfordshire,-0.70789608,0.59438244,0.17553048,1.43480916
