AREACD,AREANM,% difference: SPDv1 to Census 2011,% difference: SPDv2 to Census 2011,% difference: SPDv1 to OE 2015,% difference:SPDv2 to OE 2015
E06000001,Hartlepool,0.01,0.01,0.01,0.01
E06000002,Middlesbrough,0.04,0.04,0.04,0.04
E06000003,Redcar and Cleveland,0.02,0.02,0.02,0.02
E06000004,Stockton-on-Tees,-0.02,-0.01,-0.01,-0.02
E06000005,Darlington,-0.01,0,0.01,-0.01
E06000006,Halton,0.01,0.02,0.02,0.01
E06000007,Warrington,0,0.01,0.01,0
E06000008,Blackburn with Darwen,0.01,0.02,0.04,0.01
E06000009,Blackpool,0.06,0.06,0.07,0.06
E06000010,"Kingston upon Hull, City of",0,0.01,0.01,0
E06000011,East Riding of Yorkshire,-0.01,0,-0.01,-0.01
E06000012,North East Lincolnshire,0,0,0,0
E06000013,North Lincolnshire,-0.02,-0.02,-0.02,-0.02
E06000014,York,-0.01,0,-0.02,-0.01
E06000015,Derby,0,0.01,0.02,0
E06000016,Leicester,0.01,0.01,0.03,0.01
E06000017,Rutland,-0.05,-0.05,-0.05,-0.05
E06000018,Nottingham,-0.01,-0.01,-0.01,-0.01
E06000019,"Herefordshire, County of",-0.02,-0.02,-0.03,-0.02
E06000020,Telford and Wrekin,-0.01,-0.01,0.01,-0.01
E06000021,Stoke-on-Trent,0.01,0.01,0.03,0.01
E06000022,Bath and North East Somerset,0.01,0.01,0,0.01
E06000023,"Bristol, City of",0,0,0,0
E06000024,North Somerset,0.02,0.02,0.01,0.02
E06000025,South Gloucestershire,0,0.01,-0.01,0
E06000026,Plymouth,0.03,0.03,0.01,0.03
E06000027,Torbay,0.04,0.04,0.02,0.04
E06000028,Bournemouth,0,0,-0.01,0
E06000029,Poole,0,0.01,0,0
E06000030,Swindon,-0.01,0,0.01,-0.01
E06000031,Peterborough,0.01,0.02,0.06,0.01
E06000032,Luton,0,0,0.01,0
E06000033,Southend-on-Sea,0,0.01,0,0
E06000034,Thurrock,-0.03,-0.02,-0.01,-0.03
E06000035,Medway,-0.03,-0.02,-0.02,-0.03
E06000036,Bracknell Forest,-0.02,-0.01,-0.03,-0.02
E06000037,West Berkshire,-0.01,0,0.01,-0.01
E06000038,Reading,0.01,0.02,0.05,0.01
E06000039,Slough,-0.04,-0.02,0.01,-0.04
E06000040,Windsor and Maidenhead,-0.02,-0.01,-0.01,-0.02
E06000041,Wokingham,0,0.01,0,0
