AREACD,AREANM,% difference: SPDv1 to Census 2011,% difference: SPDv2 to Census 2011,% difference: SPDv1 to OE 2015,% difference:SPDv2 to OE 2015
E06000001,Hartlepool,0.8703873,1.0670665,1.340642,1.7893246
E06000002,Middlesbrough,3.5654423,3.6774268,4.3531242,4.8570343
E06000003,Redcar and Cleveland,2.362828,2.2252306,2.3123267,2.4668268
E06000004,Stockton-on-Tees,-1.5348886,-1.0009916,-0.6498873,-0.1432216
E06000005,Darlington,-0.7625706,-0.1184116,1.0247749,1.6348955
E06000006,Halton,1.1324416,1.5435879,1.9102491,2.411324
E06000007,Warrington,0.0227466,0.8836561,0.5214377,1.2961313
E06000008,Blackburn with Darwen,1.4089186,1.8123385,4.138349,4.5700938
E06000009,Blackpool,5.8290219,5.8374688,6.7553626,6.9473699
E06000010,"Kingston upon Hull, City of",0.4024867,0.5062284,1.3729995,1.8166374
E06000011,East Riding of Yorkshire,-0.5835196,0.113113,-0.6210553,-0.0852429
E06000012,North East Lincolnshire,-0.3401915,-0.1578789,0.4957072,0.7683148
E06000013,North Lincolnshire,-2.4336204,-1.9510768,-1.6228948,-1.2395478
E06000014,York,-1.0699264,-0.4448349,-2.3591291,-1.6794292
E06000015,Derby,0.0353766,0.5845179,1.6279189,2.2831769
E06000016,Leicester,1.0577888,1.4115978,2.9591947,3.648866
E06000017,Rutland,-5.386818,-4.8007707,-5.2962204,-3.8085475
E06000018,Nottingham,-1.2840225,-1.0854488,-0.9134496,-0.1310752
E06000019,"Herefordshire, County of",-2.3823149,-1.6269069,-2.9324983,-2.2254238
E06000020,Telford and Wrekin,-1.012956,-0.5988922,0.69526,1.3209939
E06000021,Stoke-on-Trent,1.2204427,1.466218,2.9664452,3.4027689
E06000022,Bath and North East Somerset,1.1493273,1.3521498,0.1390136,0.6907407
E06000023,"Bristol, City of",-0.326457,0.1842451,0.0338283,1.2004594
E06000024,North Somerset,1.5525804,2.412547,0.8583241,1.564703
E06000025,South Gloucestershire,-0.3421282,0.6009126,-1.3096144,-0.4292564
E06000026,Plymouth,3.203398,3.1569833,0.8313286,1.1956058
E06000027,Torbay,3.5591292,3.7889721,2.2575784,2.7539307
E06000028,Bournemouth,-0.4043795,-0.0653983,-1.2446277,-0.4025376
E06000029,Poole,0.1909987,1.0152731,0.2942016,0.9935116
E06000030,Swindon,-0.5474383,0.3361128,0.7869773,1.6936821
E06000031,Peterborough,1.3418214,2.1494192,6.1042376,7.0667079
E06000032,Luton,-0.3651557,0.3405495,1.3553165,2.2337106
E06000033,Southend-on-Sea,-0.1525988,0.699651,0.3424696,1.3273494
E06000034,Thurrock,-3.1210171,-1.6778162,-1.1441786,0.3632313
E06000035,Medway,-3.1103533,-2.4219002,-1.762438,-1.0488549
E06000036,Bracknell Forest,-2.1341814,-0.5847798,-2.5970315,-1.327932
E06000037,West Berkshire,-0.7567188,0.1475732,0.7063197,1.5504423
E06000038,Reading,1.1766368,2.1978445,4.6525575,6.2489567
E06000039,Slough,-3.5804715,-2.2067687,0.8426311,2.4030082
E06000040,Windsor and Maidenhead,-2.1956281,-1.1324018,-1.1678447,0.1272781
E06000041,Wokingham,-0.1470398,1.1549424,0.1253047,1.0579207
E06000042,Milton Keynes,-1.7297575,-0.3319655,1.2732941,2.5805885
E06000043,Brighton and Hove,-0.4949354,-0.2498454,-1.2924326,-0.5636647
E06000044,Portsmouth,-0.457436,-0.2487125,-1.2339557,-0.6101304
E06000045,Southampton,0.3558734,0.7028816,-0.4624565,0.3350205
E06000046,Isle of Wight,-1.1977001,-0.6154848,-0.3070411,-0.0659995
E06000047,County Durham,0.2877785,0.7610445,0.1447003,0.5674482
E06000057,Northumberland,-0.7205058,-0.2968091,-0.2769117,0.1237062
E06000049,Cheshire East,-0.7059739,0.0426881,0.5618127,1.2674751
E06000050,Cheshire West and Chester,1.6334555,2.1740977,2.8108782,3.691037
E06000051,Shropshire,-4.3857328,-3.5471974,-3.5528936,-2.7056972
E06000052,Cornwall,0.9605973,1.5458233,-0.3802302,0.200399
E06000053,Isles of Scilly,-2.2696323,-2.1334544,-5.5938038,-4.7332186
E06000054,Wiltshire,-1.7639777,-0.5652033,-1.3559134,-0.2931538
E06000055,Bedford,0.0552455,0.9074226,1.7690013,2.8276352
E06000056,Central Bedfordshire,-0.5869149,0.6034256,-1.9640759,-0.7389918
E07000004,Aylesbury Vale,-2.449221,-1.1927391,-4.1545889,-2.8377326
E07000005,Chiltern,-0.4598694,0.5753765,-0.1999048,0.6917341
E07000006,South Bucks,-2.500486,-0.3678945,-1.9357639,-0.3342014
E07000007,Wycombe,-1.4518422,-0.3810212,-0.9981367,0.0142023
E07000008,Cambridge,-2.5495087,-2.2693696,1.2069637,1.9792677
E07000009,East Cambridgeshire,-4.3415495,-3.2272304,-2.4339679,-1.6837331
E07000010,Fenland,-0.1490626,0.5164704,1.7696706,2.4180456
