AREACD,AREANM,% difference: SPDv1 to Census 2011,% difference: SPDv2 to Census 2011,% difference: SPDv1 to OE 2015,% difference:SPDv2 to OE 2015
E06000001,Hartlepool,-0.34,-0.12,0.2,-0.34
E06000002,Middlesbrough,1.28,1.5,2.12,1.28
E06000003,Redcar and Cleveland,0.75,0.57,0.77,0.75
E06000004,Stockton-on-Tees,-2.21,-1.79,-1.57,-2.21
E06000005,Darlington,-2.14,-1.52,-0.75,-2.14
E06000006,Halton,-0.75,-0.34,0.03,-0.75
E06000007,Warrington,-0.44,0.28,0.12,-0.44
E06000008,Blackburn with Darwen,-0.12,0.28,2.49,-0.12
E06000009,Blackpool,3.08,3.13,4.43,3.08
E06000010,"Kingston upon Hull, City of",-0.65,-0.38,0.65,-0.65
E06000011,East Riding of Yorkshire,-1.36,-0.85,-1.37,-1.36
E06000012,North East Lincolnshire,-2.12,-1.92,-1.29,-2.12
E06000013,North Lincolnshire,-3.52,-3.1,-2.64,-3.52
E06000014,York,-1.62,-0.98,-2.22,-1.62
E06000015,Derby,-1.72,-1.24,0.14,-1.72
E06000016,Leicester,-1.38,-0.91,1.88,-1.38
E06000017,Rutland,-4.28,-4.1,-3.84,-4.28
E06000018,Nottingham,-1.91,-1.38,-0.95,-1.91
E06000019,"Herefordshire, County of",-3.1,-2.37,-3.32,-3.1
E06000020,Telford and Wrekin,-1.55,-1.1,0.16,-1.55
E06000021,Stoke-on-Trent,0.1,0.38,1.8,0.1
E06000022,Bath and North East Somerset,-0.32,0.05,-0.57,-0.32
E06000023,"Bristol, City of",-2.23,-1.52,-0.35,-2.23
E06000024,North Somerset,0.09,0.68,0.06,0.09
E06000025,South Gloucestershire,-1.2,-0.57,-1.44,-1.2
E06000026,Plymouth,0.77,0.95,0.64,0.77
E06000027,Torbay,1.41,1.71,1.27,1.41
E06000028,Bournemouth,-0.94,-0.56,-0.7,-0.94
E06000029,Poole,-0.61,0.1,-0.28,-0.61
E06000030,Swindon,-1.66,-0.99,-0.28,-1.66
E06000031,Peterborough,0.35,1.06,5.8,0.35
E06000032,Luton,-1.59,-0.9,0.63,-1.59
E06000033,Southend-on-Sea,-1.35,-0.58,-0.89,-1.35
E06000034,Thurrock,-3.28,-2.17,-1.72,-3.28
E06000035,Medway,-2.71,-2.08,-1.34,-2.71
E06000036,Bracknell Forest,-3.8,-2.82,-3.73,-3.8
E06000037,West Berkshire,-1.52,-0.99,-0.19,-1.52
E06000038,Reading,-0.75,0.33,3.75,-0.75
E06000039,Slough,-4.91,-3.66,0.25,-4.91
E06000040,Windsor and Maidenhead,-3.27,-2.31,-1.87,-3.27
E06000041,Wokingham,-0.97,-0.11,-0.68,-0.97
E06000042,Milton Keynes,-2.59,-1.56,0.39,-2.59
E06000043,Brighton and Hove,-0.98,-0.64,-0.88,-0.98
E06000044,Portsmouth,-2.34,-2,-1.7,-2.34
E06000045,Southampton,-1.45,-0.92,-0.99,-1.45
E06000046,Isle of Wight,-0.97,-0.52,-0.26,-0.97
E06000047,County Durham,-0.78,-0.34,-0.59,-0.78
E06000057,Northumberland,-1.74,-1.43,-1.13,-1.74
E06000049,Cheshire East,-1.56,-1.01,-0.58,-1.56
E06000050,Cheshire West and Chester,0.46,0.91,1.43,0.46
E06000051,Shropshire,-4.39,-3.67,-3.47,-4.39
E06000052,Cornwall,-0.89,-0.34,-1.27,-0.89
E06000053,Isles of Scilly,-4,-3.72,-5.05,-4
E06000054,Wiltshire,-3.93,-2.96,-2.85,-3.93
E06000055,Bedford,-0.85,-0.22,1.03,-0.85
E06000056,Central Bedfordshire,-1.61,-0.68,-2.89,-1.61
E07000004,Aylesbury Vale,-3.12,-2.24,-4.52,-3.12
E07000005,Chiltern,-1.46,-0.83,-1.37,-1.46
E07000006,South Bucks,-3.8,-2.18,-3.13,-3.8
E07000007,Wycombe,-2.78,-2.02,-1.9,-2.78
E07000008,Cambridge,-3.6,-2.99,2.37,-3.6
E07000009,East Cambridgeshire,-5.34,-4.34,-4.22,-5.34
E07000010,Fenland,-0.41,0.2,1.79,-0.41
E07000011,Huntingdonshire,-3.21,-2.53,-1.48,-3.21
E07000012,South Cambridgeshire,-2.37,-1.39,-1.54,-2.37
E07000026,Allerdale,-1.24,-0.87,-1.01,-1.24
E07000027,Barrow-in-Furness,0.54,0.67,1.23,0.54
E07000028,Carlisle,-1.5,-0.97,-0.38,-1.5
E07000029,Copeland,-1.77,-1.54,-1.37,-1.77
E07000030,Eden,-2.46,-1.91,-1.85,-2.46
E07000031,South Lakeland,-2.06,-1.39,-1.52,-2.06
E07000032,Amber Valley,-2.03,-1.45,-2.04,-2.03
E07000033,Bolsover,-1.52,-1.07,-1.07,-1.52
E07000034,Chesterfield,-1.84,-1.5,-1.52,-1.84
E07000035,Derbyshire Dales,-1.68,-1.02,-1.15,-1.68
E07000036,Erewash,-2.37,-1.9,-2.65,-2.37
E07000037,High Peak,-1.15,-0.72,-1.26,-1.15
E07000038,North East Derbyshire,-1.46,-1.06,-1.37,-1.46
E07000039,South Derbyshire,-3.84,-2.98,-3.95,-3.84
E07000040,East Devon,-0.4,0.18,-0.68,-0.4
E07000041,Exeter,-0.4,0.11,-2.54,-0.4
E07000042,Mid Devon,-1.62,-0.94,-1.27,-1.62
E07000043,North Devon,0.21,0.73,0.78,0.21
E07000044,South Hams,-1.00E-02,0.57,-0.15,-1.00E-02
E07000045,Teignbridge,0.4,0.97,0.00E+00,0.4
E07000046,Torridge,-0.27,0.29,-1.01,-0.27
E07000047,West Devon,-0.9,-0.23,-0.82,-0.9
E07000048,Christchurch,-0.42,0.31,-0.81,-0.42
E07000049,East Dorset,-0.11,0.43,-0.54,-0.11
E07000050,North Dorset,-2.31,-1.5,-2.05,-2.31
E07000051,Purbeck,-3.02,-1.9,-2.13,-3.02
E07000052,West Dorset,-0.67,-0.23,-0.31,-0.67
E07000053,Weymouth and Portland,0.36,0.71,0.83,0.36
E07000061,Eastbourne,-1.96,-1.42,-1.15,-1.96
E07000062,Hastings,-2.9,-2.45,-1.73,-2.9
E07000063,Lewes,-2.42,-1.61,-2.21,-2.42
E07000064,Rother,-1.81,-1.03,-2.12,-1.81
E07000065,Wealden,-3.3,-2.49,-3.08,-3.3
E07000066,Basildon,-0.9,-0.25,-0.3,-0.9
E07000067,Braintree,-2.4,-1.59,-1.88,-2.4
E07000068,Brentwood,-1.95,-0.91,-1.43,-1.95
E07000069,Castle Point,1.45,1.59,0.9,1.45
E07000070,Chelmsford,-1.48,-0.84,-0.98,-1.48
E07000071,Colchester,-0.59,0.25,0.09,-0.59
E07000072,Epping Forest,-0.39,0.87,-0.23,-0.39
E07000073,Harlow,0.78,1.38,2.66,0.78
E07000074,Maldon,0.17,0.66,-0.06,0.17
E07000075,Rochford,-1.01,-0.33,-1.34,-1.01
E07000076,Tendring,1.3,1.8,1.45,1.3
E07000077,Uttlesford,-3.68,-2.62,-3.21,-3.68
E07000078,Cheltenham,-3.98,-3.35,-2.66,-3.98
E07000079,Cotswold,-2.36,-1.63,-1.28,-2.36
E07000080,Forest of Dean,-1.09,-0.42,-1.49,-1.09
E07000081,Gloucester,-1.49,-0.83,-0.81,-1.49
E07000082,Stroud,-0.75,-0.11,-0.82,-0.75
E07000083,Tewkesbury,-1.49,-0.57,-1.92,-1.49
E07000084,Basingstoke and Deane,-2.03,-1.04,-0.99,-2.03
E07000085,East Hampshire,-1.9,-1.26,-1.31,-1.9
