AREACD,AREANM,% 65+ in 2014,% 85+ in 2014,% 65+ in 2037,% 75+ in 2037,% Growth in households 2012-2037,"% Inflow 65+, 2014","% Outflow 65+, 2014","% Inflow 85+, 2014","% Outflow 85+, 2014","Male life expectancy at age 65, 2011-13","Female life expectancy at age 65, 2011-13"
E06000001,Hartlepool,18.505,2.265,26.312,14.16,71.246,0.811,0.654,1.335,0.668,17.633,20.074
E06000002,Middlesbrough,15.784,1.914,21.906,11.865,71.168,1.106,1.252,2.328,2.178,16.881,19.09
E06000003,Redcar and Cleveland,21.334,2.547,29.493,16.191,69.327,1.198,1.086,1.687,2.151,18.212,20.332
E06000004,Stockton-on-Tees,17.099,1.981,24.474,13.174,97.38,1.042,1.045,1.69,1.612,18.241,20.547
E06000005,Darlington,19.141,2.6,27.896,15.51,85.91,1.483,1.121,1.606,1.277,18.308,20.577
E06000006,Halton,16.63,1.716,26.046,13.923,110.819,1.009,0.995,1.476,1.614,17.114,18.824
E06000007,Warrington,17.471,1.967,25.019,12.993,112.529,1.3,0.934,2.955,0.837,17.822,20.058
E06000008,Blackburn with Darwen,14.004,1.626,20.72,10.365,83.994,0.915,1.995,1.676,3.521,17.277,19.553
E06000009,Blackpool,20.272,2.687,25.962,13.718,57.56,2.405,2.784,3.232,3.497,16.607,19.386
E06000010,"Kingston upon Hull, City of",14.767,1.855,20.566,10.612,54.971,0.893,1.469,1.255,2.071,16.826,19.402
E06000011,East Riding of Yorkshire,23.912,2.847,33.115,18.357,101.865,1.955,1.537,2.376,2.011,18.797,20.763
E06000012,North East Lincolnshire,19.23,2.482,26.813,14.802,68.022,0.989,0.944,1.31,1.16,17.783,20.373
E06000013,North Lincolnshire,19.716,2.454,28.72,15.667,105.252,1.22,1.154,1.661,1.493,17.77,20.783
E06000014,York,17.834,2.53,23.648,12.971,76.482,1.695,1.585,2.05,2.301,18.393,21.64
E06000015,Derby,15.961,2.333,20.942,10.925,72.622,1.3,1.258,1.901,2.088,18.364,21.024
E06000016,Leicester,11.688,1.682,17.013,8.939,89.114,1.439,1.726,2.923,2.799,17.279,20.294
E06000017,Rutland,23.223,3.235,34.867,20.323,111.846,3.126,2.707,3.09,3.74,20.053,22.704
E06000018,Nottingham,11.771,1.726,15.961,7.944,50.788,1.319,2.146,1.623,4.572,16.87,20.596
E06000019,"Herefordshire, County of",23.075,3.129,32.667,18.252,103.524,2.028,2.031,2.715,2.698,19.291,21.951
E06000020,Telford and Wrekin,16.073,1.711,25.112,13.137,133.307,1.528,1.623,2.415,1.483,17.954,20.146
E06000021,Stoke-on-Trent,16.64,1.948,21.876,11.249,64.324,1.175,1.398,2.27,3.211,16.983,19.782
E06000022,Bath and North East Somerset,19.03,2.875,25.368,14.137,72.573,1.833,2.009,2.274,2.637,19.573,21.918
E06000023,"Bristol, City of",13.282,2.05,16.11,8.48,59.083,1.468,1.998,2.68,2.988,17.886,20.869
E06000024,North Somerset,22.961,3.305,30.287,17.179,105.635,2.513,1.663,3.329,2.021,19.253,21.52
E06000025,South Gloucestershire,18.228,2.296,24.695,13.183,96.279,1.723,1.778,3.449,2.711,19.623,21.988
E06000026,Plymouth,17.436,2.272,23.045,12.736,71.539,1.335,1.158,1.683,1.229,18.218,20.585
E06000027,Torbay,25.426,3.8,34.152,19.57,88,2.845,2.203,2.612,2.573,18.999,21.056
E06000028,Bournemouth,17.998,3.214,23.612,12.966,62.43,3.045,2.616,4.048,3.414,18.632,21.019
E06000029,Poole,21.912,3.463,28.918,16.265,80.564,2.998,2.323,3.5,3.405,19.429,21.754
E06000030,Swindon,14.938,1.937,23.195,11.983,118.477,1.461,1.278,2.176,1.148,18.37,20.848
E06000031,Peterborough,14.315,1.945,19.663,10.251,92.863,1.361,1.86,1.484,1.916,18.121,21.081
E06000032,Luton,12.084,1.534,15.461,7.871,91.828,1.267,1.663,2.441,1.823,18.153,20.501
E06000033,Southend-on-Sea,18.87,3.027,25.561,13.824,80.54,2.618,1.909,3.787,2.265,18.763,20.878
E06000034,Thurrock,13.688,1.694,19.132,9.34,99.342,1.266,1.75,1.844,2.133,17.796,20.562
E06000035,Medway,15.262,1.729,21.391,10.881,109.007,1.595,1.755,2.638,2.026,17.896,20.478
E06000036,Bracknell Forest,13.556,1.723,21.681,11.088,134.142,2.612,3.219,3.886,5.214,19.54,21.807
E06000037,West Berkshire,17.372,2.115,26.676,14.326,128.658,2.421,2.395,2.854,3.461,19.443,22.047
E06000038,Reading,11.956,1.763,17.734,9.298,88.813,1.898,2.6,3.42,3.209,18.056,20.82
E06000039,Slough,9.419,1.227,14.288,6.771,112.331,1.146,2.467,1.973,3.269,17.857,20.797
E06000040,Windsor and Maidenhead,18.051,2.645,24.646,13.694,107.462,2.293,2.326,4.438,2.463,19.512,22.061
E06000041,Wokingham,17.009,2.087,24.805,13.768,140.772,2.225,2.372,5.03,3.825,19.822,21.879
E06000042,Milton Keynes,12.453,1.499,20.818,10.946,189.849,1.982,1.747,3.37,2.007,18.138,20.69
E06000043,Brighton and Hove,13.421,2.165,18.417,9.012,69.588,1.768,2.614,2.433,3.649,18.636,21.235
E06000044,Portsmouth,14.095,2.083,19.057,9.888,76.281,1.608,1.625,1.745,2.25,17.734,20.384
